"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年44週
"集計期間終了週",2020年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","2","4","407"
"RSウイルス感染症","0","0","0","256"
"咽頭結膜熱","7","11","18","256"
"Ａ群溶血性レンサ球菌咽頭炎","63","50","113","256"
"感染性胃腸炎","294","263","557","256"
"水痘","21","24","45","256"
"手足口病","5","10","15","256"
"伝染性紅斑","0","1","1","256"
"突発性発しん","66","66","132","256"
"ヘルパンギーナ","11","4","15","256"
"流行性耳下腺炎","8","4","12","256"
"不明発しん症","3","3","6","256"
"川崎病","3","2","5","256"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","7","1","8","38"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
