"全数報告疾病 週報告分 （集計）"
"東京都"
"集計期間開始週","2002年34週"
"集計期間終了週","2002年34週"

"疾病名","報告数"
"エボラ出血熱","0"
"クリミア・コンゴ出血熱","0"
"ペスト","0"
"マールブルグ病","0"
"ラッサ熱","0"
"急性灰白髄炎","0"
"コレラ","1"
"細菌性赤痢","0"
"ジフテリア","0"
"腸チフス","1"
"パラチフス","0"
"腸管出血性大腸菌感染症","13"
"アメーバ赤痢","6"
"エキノコックス症","0"
"ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）","0"
"黄熱","0"
"オウム病","1"
"回帰熱","0"
"Ｑ熱","0"
"狂犬病","0"
"クリプトスポリジウム症","0"
"クロイツフェルト・ヤコブ病","0"
"劇症型溶血性レンサ球菌感染症","1"
"後天性免疫不全症候群","9"
"コクシジオイデス症","0"
"ジアルジア症","0"
"腎症候性出血熱","0"
"髄膜炎菌性髄膜炎","0"
"先天性風しん症候群","0"
"炭疽","0"
"つつが虫病","0"
"デング熱","0"
"日本紅斑熱","0"
"日本脳炎","0"
"ハンタウイルス肺症候群","0"
"Ｂウイルス病","0"
"ブルセラ症","0"
"発しんチフス","0"
"乳児ボツリヌス症","0"
"梅毒","0"
"破傷風","0"
"バンコマイシン耐性腸球菌感染症","0"
"マラリア","2"
"ライム病","0"
"レジオネラ症","0"
"ウエストナイル熱","0"

