"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年31週
"集計期間終了週",2021年31週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","399"
"RSウイルス感染症","538","471","1009","252"
"咽頭結膜熱","18","14","32","252"
"Ａ群溶血性レンサ球菌咽頭炎","40","25","65","252"
"感染性胃腸炎","313","233","546","252"
"水痘","8","7","15","252"
"手足口病","5","7","12","252"
"伝染性紅斑","0","1","1","252"
"突発性発しん","47","42","89","252"
"ヘルパンギーナ","25","23","48","252"
"流行性耳下腺炎","12","8","20","252"
"不明発しん症","7","2","9","252"
"川崎病","4","5","9","252"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","7","1","8","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
