"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2008年8週"
"集計期間終了週","2008年8週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","50","1","2","19","97","10","0","0","2","0","0","2","1","0","0","2","0","0","1","0","","","","","",""
"区南部","49","0","9","17","152","8","1","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"区西南部","55","0","0","7","100","3","1","1","4","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"区西部","66","0","3","16","101","12","1","0","5","0","0","2","0","0","0","2","0","0","1","0","","","","","",""
"区西北部","94","0","1","11","81","3","1","2","3","0","0","3","0","0","0","2","0","0","0","0","","","","","",""
"区東北部","70","0","0","10","65","11","0","1","4","0","0","4","0","0","0","2","0","0","2","0","","","","","",""
"区東部","72","2","1","24","118","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","27","0","0","7","31","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","123","2","3","78","150","26","4","3","8","0","0","2","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","21","0","1","1","21","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","64","0","0","3","34","9","0","1","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","47","1","2","10","65","14","0","1","7","0","1","0","1","0","0","1","0","0","0","0","","","","","",""
"島しょ","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","741","6","22","204","1015","107","8","10","42","0","1","21","4","0","0","10","0","0","4","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2008年8週"
"集計期間終了週","2008年8週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","53","3","1","10","78","12","1","1","1","0","0","1","1","0","0","2","0","0","1","0","","","","","",""
"区南部","42","0","4","18","134","5","1","2","3","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"区西南部","71","0","3","5","79","1","1","1","3","0","1","5","1","0","0","1","0","0","0","0","","","","","",""
"区西部","79","1","1","15","135","9","1","0","5","0","0","3","2","0","0","2","0","0","1","0","","","","","",""
"区西北部","78","0","1","10","94","9","1","2","5","2","0","2","0","0","0","2","0","0","0","0","","","","","",""
"区東北部","77","0","0","15","75","7","0","1","3","0","0","3","0","0","1","2","0","0","2","0","","","","","",""
"区東部","68","1","1","26","107","7","0","1","7","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","37","0","0","3","26","2","0","1","2","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"南多摩","128","2","2","55","160","17","3","6","7","0","0","5","2","0","0","3","0","0","0","0","","","","","",""
"北多摩西部","26","0","1","1","10","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","69","0","0","2","28","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","45","1","4","7","57","5","0","1","3","0","1","0","1","0","0","3","0","0","0","0","","","","","",""
"島しょ","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","775","9","18","168","984","78","9","17","40","2","2","24","8","0","1","15","0","0","5","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2008年8週"
"集計期間終了週","2008年8週"
"性別","男女合計"

