"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年4週
"集計期間終了週",2023年4週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2008","1782","3790","414"
"RSウイルス感染症","10","5","15","261"
"咽頭結膜熱","13","10","23","261"
"Ａ群溶血性レンサ球菌咽頭炎","33","26","59","261"
"感染性胃腸炎","1280","1057","2337","261"
"水痘","15","8","23","261"
"手足口病","3","3","6","261"
"伝染性紅斑","1","0","1","261"
"突発性発しん","33","29","62","261"
"ヘルパンギーナ","1","1","2","261"
"流行性耳下腺炎","6","5","11","261"
"不明発しん症","4","2","6","261"
"川崎病","1","2","3","261"
"急性出血性結膜炎","0","1","1","38"
"流行性角結膜炎","2","0","2","38"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","11","7","18","25"
