"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年34週
"集計期間終了週",2025年34週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","45","65","110","396"
"新型コロナウイルス感染症（COVID-19）","843","1037","1880","396"
"急性呼吸器感染症（ARI）","8289","8304","16593","396"
"RSウイルス感染症","99","79","178","251"
"咽頭結膜熱","23","28","51","251"
"Ａ群溶血性レンサ球菌咽頭炎","202","163","365","251"
"感染性胃腸炎","598","491","1089","251"
"水痘","42","34","76","251"
"手足口病","56","63","119","251"
"伝染性紅斑","43","41","84","251"
"突発性発しん","50","49","99","251"
"ヘルパンギーナ","192","186","378","251"
"流行性耳下腺炎","8","5","13","251"
"不明発しん症","29","25","54","251"
"川崎病","4","1","5","251"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","30","17","47","38"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","4","5","9","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","2","3","25"
"COVID-19入院","49","43","92","25"
