"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","19","7","14","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","2","0","0","0","1"
"～1歳","73","15","18","0","0","53","1","1","2","3","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"1歳","211","12","10","5","3","96","4","3","15","12","0","0","3","1","0","1","0","0","1","0","0","9","5","1","1","3","1","3","5","4","0","0","5"
"2歳","183","10","8","1","12","79","6","1","28","7","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","2","0","0","2","2","0","0","1"
"3歳","192","10","1","3","22","52","4","3","32","5","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1"
"4歳","202","12","0","0","27","61","3","2","62","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","197","3","0","3","31","62","7","1","58","1","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"6歳","202","8","0","1","18","70","7","3","60","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","147","7","0","1","30","43","11","4","31","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","131","4","1","1","20","45","9","1","23","2","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"9歳","130","4","0","1","15","38","15","0","20","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","504","40","2","1","44","107","25","1","17","0","0","0","0","0","0","1","0","0","5","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"15～19歳","301","53","0","0","1","24","2","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","447","104","0","1","9","75","0","1","0","0","1","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"30～39歳","378","85","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"40～49歳","428","103","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","2","5","0","0","0","1","1","0","2","0","0","5"
"50～59歳","409","104","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","6","6","2","1","0","0","0","4","0","1","0","5"
"60～69歳","210","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","9","3","4","2","2","1","0","4","3","0","0","3"
"70～79歳","117","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","22","4","2","0","0","0","21","0","1","0","21"
"80歳以上","61","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","32","3","2","4","1","0","29","4","1","1","31"
"合計","4542","746","54","18","232","810","94","21","349","34","1","5","7","4","0","20","0","3","12","0","0","106","77","14","9","11","4","4","77","15","3","1","74"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","17","4","7","1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"～1歳","62","14","7","1","1","38","1","0","4","5","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"1歳","202","15","10","2","4","89","5","3","7","11","1","1","1","1","0","0","0","0","0","0","0","4","0","0","0","1","0","0","3","1","0","0","0"
"2歳","189","10","1","3","7","70","1","0","17","4","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","1","0","0","0"
"3歳","187","7","2","2","13","56","5","0","34","0","0","0","1","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","4","0","0","0","0"
"4歳","204","7","1","0","19","42","3","1","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","170","3","0","1","19","55","3","2","44","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"6歳","179","7","0","0","12","53","4","4","44","1","0","1","0","1","0","0","0","0","1","0","0","2","0","2","2","0","0","0","0","0","0","0","0"
"7歳","156","8","1","4","28","34","15","0","30","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"8歳","124","3","1","0","17","38","2","1","23","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","125","3","0","0","8","25","12","0","15","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","416","34","2","2","28","68","10","2","18","0","0","2","0","0","0","0","0","0","4","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"15～19歳","307","55","0","0","4","17","0","1","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"20～29歳","393","81","0","0","17","118","2","0","7","1","0","0","0","0","0","1","0","0","1","0","0","1","3","0","0","0","0","0","1","0","0","0","3"
"30～39歳","416","98","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"40～49歳","546","134","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","5","0","0","0","0","0","2","0","1","0","4"
"50～59歳","468","143","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","2","2","1","2","1","1","4","2","0","0","2"
"60～69歳","227","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","6","0","1","1","0"
"70～79歳","136","55","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","14","9","2","2","3","1","0","10","3","1","1","8"
"80歳以上","100","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","24","2","0","6","2","0","31","8","2","0","22"
"合計","4624","815","32","16","177","705","63","14","291","24","2","5","4","3","2","17","0","0","14","0","0","94","47","8","5","13","4","1","74","15","6","2","41"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年2週"
"集計期間終了週","2025年2週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","36","11","21","1","0","7","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"～1歳","135","29","25","1","1","91","2","1","6","8","0","0","1","1","0","0","0","0","1","0","0","5","1","0","0","0","0","0","5","0","0","0","1"
"1歳","413","27","20","7","7","185","9","6","22","23","1","1","4","2","0","1","0","0","1","0","0","13","5","1","1","4","1","3","8","5","0","0","5"
"2歳","372","20","9","4","19","149","7","1","45","11","0","0","1","0","0","0","0","0","1","0","0","7","1","0","0","3","0","0","4","3","0","0","1"
"3歳","379","17","3","5","35","108","9","3","66","5","0","1","1","1","0","0","0","0","2","0","0","5","1","0","1","0","0","0","4","0","0","0","1"
"4歳","406","19","1","0","46","103","6","3","109","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","367","6","0","4","50","117","10","3","102","1","1","1","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","5","0","0","0","0"
"6歳","381","15","0","1","30","123","11","7","104","1","0","1","1","2","0","0","0","0","1","0","0","2","0","2","2","0","0","0","0","0","0","0","0"
"7歳","303","15","1","5","58","77","26","4","61","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"8歳","255","7","2","1","37","83","11","2","46","3","0","0","0","0","0","0","0","1","2","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"9歳","255","7","0","1","23","63","27","0","35","0","0","0","3","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","920","74","4","3","72","175","35","3","35","0","0","2","0","0","0","1","0","0","9","0","0","5","1","0","0","0","0","0","5","0","0","0","1"
"15～19歳","608","108","0","0","5","41","2","1","2","0","0","0","0","0","0","3","0","0","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"20～29歳","840","185","0","1","26","193","2","1","7","1","1","0","0","0","0","3","0","0","2","0","0","2","3","0","0","0","0","0","2","0","0","0","3"
"30～39歳","794","183","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"40～49歳","974","237","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","4","10","0","0","0","1","1","2","2","1","0","9"
"50～59歳","877","247","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","12","8","4","2","2","1","1","8","2","1","0","7"
"60～69歳","437","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","15","4","4","2","2","1","0","10","3","1","1","3"
"70～79歳","253","110","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","39","31","6","4","3","1","0","31","3","2","1","29"
"80歳以上","161","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","56","5","2","10","3","0","60","12","3","1","53"
"合計","9166","1561","86","34","409","1515","157","35","640","58","3","10","11","7","2","37","0","3","26","0","0","200","124","22","14","24","8","5","151","30","9","3","115"
"定点数","418","418","263","263","263","263","263","263","263","263","263","263","263","263","39","39","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"


