"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年8月"
"集計期間終了月","2014年8月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","26","30","18","22","0","2","3","0","0","0","",""
"区南部","13","2","0","6","0","0","0","0","0","0","",""
"区西南部","13","3","2","3","0","2","3","1","0","0","",""
"区西部","28","21","41","31","0","8","9","2","0","0","",""
"区西北部","16","7","3","12","0","1","3","7","2","0","",""
"区東北部","4","0","0","4","0","0","3","1","0","0","",""
"区東部","18","8","2","6","0","1","6","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","1","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","15","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","119","71","66","84","0","14","43","12","2","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年8月"
"集計期間終了月","2014年8月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","29","20","10","35","5","1","3","0","1","0","",""
"区南部","11","1","0","0","0","1","0","0","0","0","",""
"区西南部","6","7","0","0","1","0","0","0","0","0","",""
"区西部","6","2","17","5","1","0","11","1","0","0","",""
"区西北部","18","7","2","3","0","0","2","0","0","0","",""
"区東北部","6","1","1","0","0","0","4","1","0","0","",""
"区東部","4","2","1","0","1","0","1","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","4","3","1","0","0","0","1","0","0","0","",""
"北多摩西部","8","0","1","2","2","0","1","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","12","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","92","43","34","45","10","2","35","4","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年8月"
"集計期間終了月","2014年8月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","55","50","28","57","5","3","6","0","1","0","10","4"
"区南部","24","3","0","6","0","1","0","0","0","0","3","1"
"区西南部","19","10","2","3","1","2","3","1","0","0","5","3"
"区西部","34","23","58","36","1","8","20","3","0","0","11","4"
"区西北部","34","14","5","15","0","1","5","7","2","0","6","2"
"区東北部","10","1","1","4","0","0","7","2","0","0","3","1"
"区東部","22","10","3","6","1","1","7","0","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","4","3","1","0","0","0","1","0","0","0","5","1"
"北多摩西部","9","0","1","2","2","0","2","0","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","27","0","0","0","3","3"
"北多摩北部","0","0","0","0","0","0","0","3","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","211","114","100","129","10","16","78","16","3","0","55","25"


