"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年48週
"集計期間終了週",2011年48週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","18","17","35","418"
"RSウイルス感染症","68","43","111","264"
"咽頭結膜熱","46","30","76","264"
"Ａ群溶血性レンサ球菌咽頭炎","343","289","632","264"
"感染性胃腸炎","1507","1357","2864","264"
"水痘","251","249","500","264"
"手足口病","58","40","98","264"
"伝染性紅斑","34","23","57","264"
"突発性発しん","87","75","162","264"
"百日咳","2","3","5","264"
"ヘルパンギーナ","1","4","5","264"
"流行性耳下腺炎","61","40","101","264"
"不明発しん症","12","14","26","264"
"川崎病","2","2","4","264"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","8","6","14","38"
"細菌性髄膜炎","3","0","3","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","20","20","40","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"インフルエンザ入院","0","0","0","25"
