"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年46週
"集計期間終了週",2009年46週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3677","3442","7119","289"
"RSウイルス感染症","9","6","15","149"
"咽頭結膜熱","7","7","14","149"
"Ａ群溶血性レンサ球菌咽頭炎","73","65","138","149"
"感染性胃腸炎","225","206","431","149"
"水痘","53","40","93","149"
"手足口病","19","23","42","149"
"伝染性紅斑","4","4","8","149"
"突発性発しん","39","35","74","149"
"百日咳","3","2","5","149"
"ヘルパンギーナ","12","3","15","149"
"流行性耳下腺炎","63","52","115","149"
"不明発しん症","3","1","4","149"
"川崎病","4","0","4","149"
"急性出血性結膜炎","0","2","2","39"
"流行性角結膜炎","3","2","5","39"
"細菌性髄膜炎","1","0","1","23"
"無菌性髄膜炎","0","0","0","23"
"マイコプラズマ肺炎","5","2","7","23"
"クラミジア肺炎(オウム病は除く)","0","1","1","23"
