"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年25週"
"集計期間終了週","2005年25週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","5","10","20","31","5","8","2","4","0","0","39","0","4","1","0","0","3","0","0","0","0","0","","","","","",""
"区南部","0","0","3","16","42","17","17","2","8","0","0","14","0","14","3","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","3","9","31","17","5","3","7","0","0","23","0","9","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","16","13","48","6","3","9","1","1","0","14","0","9","1","0","0","1","0","0","1","0","0","","","","","",""
"区西北部","0","0","3","9","25","9","7","5","8","0","0","31","0","16","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","5","9","11","14","7","3","5","0","0","48","1","5","0","0","0","1","0","0","0","0","0","","","","","",""
"区東部","1","0","2","9","16","11","9","1","7","0","0","47","0","15","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","3","5","4","6","21","0","1","0","0","9","0","7","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","2","13","37","10","13","4","3","0","0","12","0","11","3","0","0","2","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","1","2","5","1","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","2","5","15","12","8","2","4","0","0","16","0","7","1","0","0","1","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","8","12","17","3","4","7","1","0","0","14","0","15","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2","5","58","122","282","111","103","38","49","1","0","267","1","117","11","0","0","10","0","0","1","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年25週"
"集計期間終了週","2005年25週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","6","15","12","25","3","9","3","4","0","0","38","0","6","1","0","0","3","0","0","0","0","0","","","","","",""
"区南部","0","0","4","6","35","3","12","2","3","0","0","14","0","14","2","1","0","1","0","0","0","0","0","","","","","",""
"区西南部","0","0","1","9","26","9","4","4","3","0","0","29","0","6","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","13","19","34","8","2","10","9","1","0","11","0","4","1","0","0","1","0","0","1","0","0","","","","","",""
"区西北部","0","0","7","8","27","7","7","8","8","0","1","26","0","13","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","4","4","9","8","6","7","7","0","0","38","1","7","1","0","0","1","0","0","0","0","0","","","","","",""
"区東部","1","0","5","13","16","19","8","1","2","0","0","56","0","10","2","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","5","3","6","8","20","1","1","0","0","3","0","9","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","2","12","26","16","8","5","1","0","0","12","0","8","4","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","1","1","5","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","2","5","14","6","7","2","5","0","0","21","0","5","1","0","0","1","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","9","4","15","7","4","9","2","0","0","10","0","4","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2","6","69","96","238","95","89","52","45","1","1","258","1","89","12","1","0","10","0","0","1","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2005年25週"
"集計期間終了週","2005年25週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
