"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2020年3週"
"集計期間終了週","2020年3週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","11","1","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","31","8","2","1","58","1","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","112","5","1","8","173","1","2","2","35","2","1","0","1","0","1","0","0","0","0","0","4","1","1","2","0","1","2","2"
"2歳","81","3","5","16","124","3","2","0","8","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","123","2","7","39","95","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","146","1","2","44","89","6","2","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","154","0","2","55","88","6","0","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","108","0","1","43","54","3","1","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"7歳","106","0","0","33","47","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","109","0","0","24","43","5","1","0","0","0","0","1","0","0","0","0","0","1","0","0","3","0","0","0","0","0","3","0"
"9歳","100","0","0","29","33","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10～14歳","369","0","1","27","123","7","1","2","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","2"
"15～19歳","140","0","0","6","29","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","147","0","2","7","121","2","0","0","0","6","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
"30～39歳","181","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40～49歳","252","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","1"
"50～59歳","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"60～69歳","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"70～79歳","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","4","1"
"80歳以上","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","3","3","0","0","0","7","0"
"合計","2431","20","23","332","1082","43","14","12","56","10","4","2","7","0","7","0","1","4","0","0","32","7","6","5","1","2","20","7"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2020年3週"
"集計期間終了週","2020年3週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","5","2","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"～1歳","39","5","0","1","53","1","2","1","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"1歳","98","1","3","6","131","4","2","1","23","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","3","0"
"2歳","79","2","6","14","114","1","2","1","4","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","1"
"3歳","108","0","4","23","88","2","3","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","118","1","1","38","79","2","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","121","0","1","37","76","2","1","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","129","0","0","41","57","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","113","0","0","42","40","4","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","110","0","1","23","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"9歳","76","0","1","25","31","1","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10～14歳","311","0","0","27","88","7","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"15～19歳","131","0","0","8","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","148","0","1","18","162","1","0","0","0","4","1","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","1","0"
"30～39歳","226","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0"
"40～49歳","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","1","1"
"50～59歳","175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","85","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"70～79歳","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0"
"80歳以上","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","2","0","0","0","7","0"
"合計","2458","11","18","303","983","28","12","16","41","5","7","3","0","0","7","0","0","4","0","0","28","4","2","3","1","1","21","4"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2020年3週"
"集計期間終了週","2020年3週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","16","3","0","0","17","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"～1歳","70","13","2","2","111","2","4","1","21","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"1歳","210","6","4","14","304","5","4","3","58","3","1","0","1","0","2","0","0","0","0","0","7","1","1","2","0","1","5","2"
"2歳","160","5","11","30","238","4","4","1","12","1","1","0","3","0","1","0","0","0","0","0","2","0","0","0","0","1","1","1"
"3歳","231","2","11","62","183","3","4","4","2","0","3","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","264","2","3","82","168","8","2","4","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","275","0","3","92","164","8","1","5","2","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","237","0","1","84","111","4","1","3","1","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"7歳","219","0","0","75","87","6","2","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","219","0","1","47","74","6","1","0","0","0","0","1","0","0","0","0","0","1","0","0","4","0","0","1","1","0","3","1"
"9歳","176","0","1","54","64","6","1","1","0","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","1","0"
"10～14歳","680","0","1","54","211","14","2","3","0","0","1","1","0","0","0","0","0","0","0","0","3","0","0","2","0","1","0","3"
"15～19歳","271","0","0","14","50","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","295","0","3","25","283","3","0","0","0","10","1","0","0","0","2","0","0","0","0","0","3","2","1","0","0","0","1","0"
"30～39歳","407","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","2","0","0","0","0","0","2","0"
"40～49歳","562","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","1","0","1","1","0","1","2"
"50～59歳","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"60～69歳","152","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","0","1","0","0","1","1"
"70～79歳","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","7","1"
"80歳以上","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","5","5","0","0","0","14","0"
"合計","4889","31","41","635","2065","71","26","28","97","15","11","5","7","0","14","0","1","8","0","0","60","11","8","8","2","3","41","11"
"定点数","416","262","262","262","262","262","262","262","262","262","262","262","262","38","38","25","25","25","25","25","25","25","25","25","25","25","25","25"


