"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年10週
"集計期間終了週",2017年10週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2131","2105","4236","415"
"RSウイルス感染症","16","13","29","261"
"咽頭結膜熱","40","26","66","261"
"Ａ群溶血性レンサ球菌咽頭炎","291","283","574","261"
"感染性胃腸炎","975","923","1898","261"
"水痘","40","33","73","261"
"手足口病","5","4","9","261"
"伝染性紅斑","13","16","29","261"
"突発性発しん","61","52","113","261"
"百日咳","1","1","2","261"
"ヘルパンギーナ","1","0","1","261"
"流行性耳下腺炎","43","15","58","261"
"不明発しん症","7","3","10","261"
"川崎病","3","3","6","261"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","3","5","8","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","11","10","21","25"
"インフルエンザ入院","15","10","25","25"
