"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年40週
"集計期間終了週",2023年40週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3719","3154","6873","418"
"新型コロナウイルス感染症（COVID-19）","735","779","1514","418"
"RSウイルス感染症","7","13","20","263"
"咽頭結膜熱","291","265","556","263"
"Ａ群溶血性レンサ球菌咽頭炎","300","280","580","263"
"感染性胃腸炎","469","353","822","263"
"水痘","18","18","36","263"
"手足口病","302","244","546","263"
"伝染性紅斑","4","8","12","263"
"突発性発しん","39","30","69","263"
"ヘルパンギーナ","68","58","126","263"
"流行性耳下腺炎","9","3","12","263"
"不明発しん症","12","5","17","263"
"川崎病","1","2","3","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","22","24","46","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","20","11","31","25"
"COVID-19入院","50","47","97","25"
