"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年49週
"集計期間終了週",2003年49週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","13","11","24","178"
"RSウイルス感染症","7","3","10","142"
"咽頭結膜熱","14","6","20","142"
"Ａ群溶血性レンサ球菌咽頭炎","77","60","137","142"
"感染性胃腸炎","864","881","1745","142"
"水痘","95","87","182","142"
"手足口病","13","5","18","142"
"伝染性紅斑","30","16","46","142"
"突発性発しん","37","40","77","142"
"百日咳","0","0","0","142"
"風しん","0","1","1","142"
"ヘルパンギーナ","2","2","4","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","17","14","31","142"
"不明発しん症","6","2","8","142"
"川崎病","1","0","1","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","6","5","11","14"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","1","0","1","25"
