"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2001年16週
"集計期間終了週",2001年16週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","30","41","71","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","1","4","5","142"
"Ａ群溶血性レンサ球菌咽頭炎","22","24","46","142"
"感染性胃腸炎","236","233","469","142"
"水痘","89","73","162","142"
"手足口病","5","7","12","142"
"伝染性紅斑","33","40","73","142"
"突発性発しん","42","37","79","142"
"百日咳","0","0","0","142"
"風しん","3","0","3","142"
"ヘルパンギーナ","6","3","9","142"
"麻しん（成人麻しん以外）","11","6","17","142"
"流行性耳下腺炎","69","68","137","142"
"不明発しん症","1","1","2","142"
"川崎病","2","1","3","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","10","12","22","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
