"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年21週"
"集計期間終了週","2009年21週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","2","1","0","40","3","1","2","27","0","0","1","1","0","0","0","0","0","0","0"
"1歳","2","1","7","7","62","19","2","0","20","0","2","3","1","0","0","0","0","0","0","0"
"2歳","3","0","6","9","51","20","3","1","4","0","1","9","2","0","0","0","0","0","2","0"
"3歳","4","0","5","12","51","18","1","5","1","1","0","6","1","0","0","1","0","0","0","0"
"4歳","5","0","2","27","39","12","0","6","0","0","0","17","1","0","0","0","0","0","0","0"
"5歳","4","0","1","24","37","11","0","2","0","0","0","11","0","0","0","0","0","0","1","0"
"6歳","4","0","0","29","23","8","1","1","0","0","0","7","0","0","0","0","0","0","0","0"
"7歳","2","0","1","8","23","4","0","3","0","0","0","6","0","0","0","0","0","0","0","0"
"8歳","2","0","1","20","17","6","1","2","0","0","0","6","1","0","0","0","0","0","0","0"
"9歳","8","0","0","6","13","1","0","4","0","0","0","2","0","0","0","0","0","0","0","0"
"10～14歳","20","0","0","15","39","0","0","3","0","0","1","3","0","0","0","1","0","0","0","0"
"15～19歳","9","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","17","0","1","2","31","1","1","0","0","0","0","4","0","0","0","4","0","0","0","0"
"30～39歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40～49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","93","3","25","159","439","106","10","30","54","1","4","75","7","0","0","7","0","0","3","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年21週"
"集計期間終了週","2009年21週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","0","1","0","0","27","4","2","0","27","0","2","0","3","0","0","0","0","0","0","0"
"1歳","6","1","7","0","56","15","6","1","24","0","2","0","4","0","0","0","0","0","1","0"
"2歳","5","0","2","8","36","14","0","3","4","0","0","2","2","0","0","0","0","0","0","0"
"3歳","4","0","3","13","46","16","2","3","1","0","0","9","0","0","0","0","0","0","2","0"
"4歳","1","0","1","14","46","20","1","4","0","0","0","8","1","0","0","0","0","0","1","0"
"5歳","1","0","0","23","29","8","0","3","0","0","1","12","1","0","0","0","0","0","0","0"
"6歳","3","0","0","26","18","4","0","2","0","0","1","5","0","0","0","0","0","0","0","0"
"7歳","1","0","0","17","13","3","0","5","0","0","1","8","0","0","0","0","0","0","0","0"
"8歳","3","0","4","11","10","1","0","3","0","0","0","5","0","0","0","0","0","0","0","0"
"9歳","3","0","0","5","17","1","0","0","0","0","0","4","0","0","0","0","0","0","0","1"
"10～14歳","14","0","2","9","29","0","0","1","0","0","1","5","1","0","0","0","0","0","0","0"
"15～19歳","7","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20～29歳","8","0","1","13","52","0","1","0","0","3","0","3","1","0","0","2","0","0","0","0"
"30～39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"40～49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"50～59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","66","2","20","139","391","86","12","25","57","3","9","61","13","0","0","6","0","0","4","3"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2009年21週"
"集計期間終了週","2009年21週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","7","3","0","0","3","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","3","3","1","0","67","7","3","2","54","0","2","1","4","0","0","0","0","0","0","0"
"1歳","8","2","14","7","118","34","8","1","44","0","4","3","5","0","0","0","0","0","1","0"
"2歳","8","0","8","17","87","34","3","4","8","0","1","11","4","0","0","0","0","0","2","0"
"3歳","8","0","8","25","97","34","3","8","2","1","0","15","1","0","0","1","0","0","2","0"
"4歳","6","0","3","41","85","32","1","10","0","0","0","25","2","0","0","0","0","0","1","0"
"5歳","5","0","1","47","66","19","0","5","0","0","1","23","1","0","0","0","0","0","1","0"
"6歳","7","0","0","55","41","12","1","3","0","0","1","12","0","0","0","0","0","0","0","0"
"7歳","3","0","1","25","36","7","0","8","0","0","1","14","0","0","0","0","0","0","0","0"
"8歳","5","0","5","31","27","7","1","5","0","0","0","11","1","0","0","0","0","0","0","0"
"9歳","11","0","0","11","30","2","0","4","0","0","0","6","0","0","0","0","0","0","0","1"
"10～14歳","34","0","2","24","68","0","0","4","0","0","2","8","1","0","0","1","0","0","0","0"
"15～19歳","16","0","0","0","18","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"20～29歳","25","0","2","15","83","1","2","0","0","3","0","7","1","0","0","6","0","0","0","0"
"30～39歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1"
"40～49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"50～59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","159","5","45","298","830","192","22","55","111","4","13","136","20","0","0","13","0","0","7","3"
"定点数","288","148","148","148","148","148","148","148","148","148","148","148","148","148","38","38","24","24","24","24"


