"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年38週
"集計期間終了週",2011年38週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","7","1","8","415"
"RSウイルス感染症","44","60","104","261"
"咽頭結膜熱","12","13","25","261"
"Ａ群溶血性レンサ球菌咽頭炎","72","73","145","261"
"感染性胃腸炎","358","257","615","261"
"水痘","58","37","95","261"
"手足口病","504","380","884","261"
"伝染性紅斑","9","14","23","261"
"突発性発しん","82","60","142","261"
"百日咳","3","3","6","261"
"ヘルパンギーナ","158","150","308","261"
"流行性耳下腺炎","35","37","72","261"
"不明発しん症","15","13","28","261"
"川崎病","2","0","2","261"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","8","4","12","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","3","2","5","25"
"マイコプラズマ肺炎","16","18","34","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"インフルエンザ入院","0","0","0","25"
