"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2025年31週"
"集計期間終了週","2025年31週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","10","81","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"中央区","6","5","110","0","0","0","10","1","0","0","1","7","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"みなと","0","11","183","5","0","2","12","4","2","1","2","10","2","1","0","0","0","0","0","0","0","0","0","5","","","","","","",""
"新宿区","3","17","142","5","0","5","3","0","0","0","1","3","0","0","1","0","0","0","0","2","0","0","0","3","","","","","","",""
"文京","2","22","284","3","1","4","16","2","1","0","0","5","2","1","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"台東","1","7","250","0","0","1","31","2","3","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","0","18","85","1","0","3","6","2","1","1","1","2","1","1","0","0","0","0","0","0","0","0","0","5","","","","","","",""
"江東区","0","22","425","8","1","9","42","3","9","0","3","10","1","1","1","0","2","0","0","0","0","0","0","0","","","","","","",""
"品川区","0","13","159","0","4","7","24","1","6","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","1","8","131","1","0","3","12","2","0","2","2","6","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","2","45","451","8","5","19","49","2","12","3","1","15","1","1","2","0","1","0","0","0","0","0","0","2","","","","","","",""
"世田谷","1","46","686","1","4","14","27","4","4","4","0","17","0","3","0","0","1","0","2","0","0","0","0","4","","","","","","",""
"渋谷区","7","12","63","0","0","0","8","1","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","5","","","","","","",""
"中野区","1","21","491","4","0","8","22","2","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","8","21","298","8","1","8","20","0","2","0","0","4","0","2","0","0","0","0","0","3","0","0","0","1","","","","","","",""
"池袋","6","14","239","2","0","3","7","1","3","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0","","","","","","",""
"北区","5","34","333","0","2","17","20","3","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","1","21","302","10","1","2","19","0","3","1","2","7","0","3","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","1","31","320","1","1","3","21","1","1","0","2","4","0","1","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"練馬区","8","34","458","2","2","13","26","5","1","0","1","16","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","0","45","539","6","3","16","42","2","3","14","1","6","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","1","32","294","1","0","2","22","5","2","0","3","4","0","0","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"江戸川","2","53","538","3","1","12","26","4","11","4","0","15","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"八王子市","1","38","867","5","1","25","46","5","6","6","3","17","1","2","0","0","2","0","0","0","0","0","0","4","","","","","","",""
"町田市","6","27","788","1","0","28","55","9","4","5","3","34","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","0","17","164","1","2","10","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","",""
"南多摩","0","36","367","5","2","6","32","1","2","5","2","7","0","1","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","2","41","376","1","1","14","18","6","0","2","4","5","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩府中","10","63","891","9","2","33","72","3","4","1","4","16","0","5","0","0","0","0","0","2","0","0","1","5","","","","","","",""
