"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2018年8週"
"集計期間終了週","2018年8週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","24","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"中央区","39","1","0","3","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","70","1","0","10","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"新宿区","80","6","0","10","19","0","0","0","3","0","0","0","1","0","0","0","1","0","0","0","0","","","","","",""
"文京","59","0","0","1","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"台東","38","1","0","16","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","51","0","0","2","10","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"江東区","119","1","0","14","54","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","51","0","1","3","18","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","57","3","0","3","16","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","165","4","0","16","31","2","1","0","4","0","0","0","1","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","198","3","0","23","55","4","1","1","3","0","0","0","1","0","1","0","0","0","0","0","5","","","","","",""
"渋谷区","36","0","1","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","112","0","0","19","20","4","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","132","0","2","3","21","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","9","","","","","",""
"池袋","43","0","0","1","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","84","0","1","2","20","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","66","2","7","8","15","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","89","0","1","10","22","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","159","1","1","28","22","1","0","0","6","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","151","2","0","5","33","1","0","0","3","0","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","117","0","0","6","20","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","","","","","",""
