"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2007年38週"
"集計期間終了週","2007年38週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","3","4","23","1","15","0","6","0","0","3","0","1","0","0","0","2","0","0","0","0","0","","","","","",""
"区南部","0","1","2","1","33","1","6","2","7","0","0","3","0","0","1","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","2","1","0","3","10","4","9","0","5","0","0","4","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","5","7","29","3","4","3","4","0","1","4","0","0","0","0","0","1","0","0","1","0","0","","","","","",""
"区西北部","0","0","2","5","21","3","0","0","4","0","0","7","0","1","2","0","0","1","0","0","0","0","0","","","","","",""
"区東北部","0","0","2","5","19","3","0","0","8","0","0","4","0","8","0","1","0","0","0","0","1","0","0","","","","","",""
"区東部","0","0","1","5","27","2","7","1","5","0","0","3","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","2","1","11","4","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","3","0","1","11","51","6","8","7","7","2","0","10","0","1","6","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","1","0","6","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","1","9","2","3","1","5","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"北多摩北部","4","0","1","6","21","1","10","1","4","0","0","9","0","0","0","1","0","4","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","9","2","20","49","260","31","73","15","57","2","1","47","0","15","10","2","0","10","0","0","2","0","1","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2007年38週"
"集計期間終了週","2007年38週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","2","8","20","1","6","0","4","0","0","2","0","1","1","0","0","3","0","0","0","0","0","","","","","",""
"区南部","0","1","3","4","28","1","18","1","3","3","0","13","0","2","1","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","3","1","1","4","7","4","9","0","6","0","0","6","0","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","0","0","7","4","38","2","4","3","8","0","1","1","0","1","0","0","0","2","0","0","1","0","0","","","","","",""
"区西北部","0","0","2","6","18","6","4","0","4","0","0","2","0","3","2","0","0","2","0","0","0","0","0","","","","","",""
"区東北部","0","0","1","4","20","2","5","0","7","0","0","4","1","1","1","1","1","1","0","0","2","0","0","","","","","",""
"区東部","0","1","1","2","25","3","3","2","11","0","0","4","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","2","2","6","5","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
