"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年7週
"集計期間終了週",2025年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","325","360","685","419"
"新型コロナウイルス感染症（COVID-19）","641","730","1371","419"
"RSウイルス感染症","113","89","202","264"
"咽頭結膜熱","19","25","44","264"
"Ａ群溶血性レンサ球菌咽頭炎","285","237","522","264"
"感染性胃腸炎","1361","1333","2694","264"
"水痘","36","29","65","264"
"手足口病","10","2","12","264"
"伝染性紅斑","129","143","272","264"
"突発性発しん","19","19","38","264"
"ヘルパンギーナ","0","0","0","264"
"流行性耳下腺炎","11","4","15","264"
"不明発しん症","4","3","7","264"
"川崎病","2","2","4","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","9","15","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","7","4","11","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","9","5","14","25"
"COVID-19入院","46","39","85","25"
