"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年38週
"集計期間終了週",2017年38週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","22","45","67","413"
"RSウイルス感染症","232","209","441","261"
"咽頭結膜熱","46","42","88","261"
"Ａ群溶血性レンサ球菌咽頭炎","165","153","318","261"
"感染性胃腸炎","395","315","710","261"
"水痘","23","20","43","261"
"手足口病","590","485","1075","261"
"伝染性紅斑","4","4","8","261"
"突発性発しん","65","59","124","261"
"百日咳","1","0","1","261"
"ヘルパンギーナ","107","112","219","261"
"流行性耳下腺炎","21","17","38","261"
"不明発しん症","12","13","25","261"
"川崎病","2","1","3","261"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","10","5","15","38"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","3","1","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","1","3","25"
