"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年47週
"集計期間終了週",2024年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","527","473","1000","418"
"新型コロナウイルス感染症（COVID-19）","188","227","415","418"
"RSウイルス感染症","33","29","62","264"
"咽頭結膜熱","26","17","43","264"
"Ａ群溶血性レンサ球菌咽頭炎","293","241","534","264"
"感染性胃腸炎","438","423","861","264"
"水痘","33","22","55","264"
"手足口病","449","381","830","264"
"伝染性紅斑","223","215","438","264"
"突発性発しん","35","34","69","264"
"ヘルパンギーナ","11","6","17","264"
"流行性耳下腺炎","3","2","5","264"
"不明発しん症","5","8","13","264"
"川崎病","4","1","5","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","6","13","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","55","52","107","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","6","10","16","25"
"COVID-19入院","32","19","51","25"
