"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2006年48週
"集計期間終了週",2006年48週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","1","1","178"
"RSウイルス感染症","27","14","41","142"
"咽頭結膜熱","21","16","37","142"
"Ａ群溶血性レンサ球菌咽頭炎","119","81","200","142"
"感染性胃腸炎","1562","1546","3108","142"
"水痘","69","84","153","142"
"手足口病","39","26","65","142"
"伝染性紅斑","24","30","54","142"
"突発性発しん","45","35","80","142"
"百日咳","1","0","1","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","1","5","6","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","37","37","74","142"
"不明発しん症","7","4","11","142"
"川崎病","2","0","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","8","7","15","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","2","4","6","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"成人麻しん","1","0","1","25"
