"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年42週
"集計期間終了週",2025年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1214","1121","2335","418"
"新型コロナウイルス感染症（COVID-19）","273","342","615","418"
"急性呼吸器感染症（ARI）","11067","10800","21867","418"
"RSウイルス感染症","89","85","174","263"
"咽頭結膜熱","18","13","31","263"
"Ａ群溶血性レンサ球菌咽頭炎","216","159","375","263"
"感染性胃腸炎","572","467","1039","263"
"水痘","20","33","53","263"
"手足口病","35","41","76","263"
"伝染性紅斑","14","21","35","263"
"突発性発しん","29","44","73","263"
"ヘルパンギーナ","39","32","71","263"
"流行性耳下腺炎","7","7","14","263"
"不明発しん症","9","11","20","263"
"川崎病","3","4","7","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","13","15","28","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","8","5","13","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","9","6","15","25"
"COVID-19入院","24","20","44","25"
