"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2012年7週"
"集計期間終了週","2012年7週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","17","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"中央区","72","0","2","3","15","2","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","","","","","",""
"みなと","154","1","2","3","36","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","144","1","0","5","29","1","0","0","3","0","0","1","0","0","0","1","0","0","3","0","2","","","","","",""
"文京","102","1","0","0","5","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","103","0","0","3","28","1","2","2","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","95","2","0","3","12","3","0","1","1","0","0","1","1","0","0","0","0","0","0","0","3","","","","","",""
"江東区","319","2","2","17","59","3","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","185","0","0","12","46","3","0","1","2","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"目黒区","49","0","0","0","10","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","433","1","6","10","90","10","1","0","5","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","552","4","3","17","79","12","0","1","1","0","0","2","1","0","0","0","0","0","0","0","8","","","","","",""
