"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年41週
"集計期間終了週",2019年41週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","213","198","411","409"
"RSウイルス感染症","107","108","215","259"
"咽頭結膜熱","38","27","65","259"
"Ａ群溶血性レンサ球菌咽頭炎","245","178","423","259"
"感染性胃腸炎","460","349","809","259"
"水痘","39","24","63","259"
"手足口病","348","252","600","259"
"伝染性紅斑","21","19","40","259"
"突発性発しん","53","39","92","259"
"ヘルパンギーナ","101","82","183","259"
"流行性耳下腺炎","11","7","18","259"
"不明発しん症","5","5","10","259"
"川崎病","0","0","0","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","10","6","16","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","4","1","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","4","4","8","25"
