"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2004年44週
"集計期間終了週",2004年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","13","23","36","178"
"RSウイルス感染症","6","8","14","142"
"咽頭結膜熱","11","6","17","142"
"Ａ群溶血性レンサ球菌咽頭炎","51","37","88","142"
"感染性胃腸炎","211","195","406","142"
"水痘","48","40","88","142"
"手足口病","63","65","128","142"
"伝染性紅斑","14","10","24","142"
"突発性発しん","35","40","75","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","12","7","19","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","42","46","88","142"
"不明発しん症","5","1","6","142"
"川崎病","1","1","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","7","6","13","14"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","5","7","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
