"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2006年6月"
"集計期間終了月","2006年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","14","7","3","12","0","1","7","1","0","",""
"区南部","4","0","0","2","0","0","5","0","0","",""
"区西南部","3","0","0","0","0","0","9","0","1","",""
"区西部","33","12","25","24","0","0","32","15","1","",""
"区西北部","17","9","7","9","4","3","6","1","0","",""
"区東北部","1","0","0","3","0","0","3","2","0","",""
"区東部","28","10","8","16","0","0","2","5","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","3","0","1","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","5","6","0","",""
"島しょ","0","0","0","0","0","0","0","1","0","",""
"合計","101","38","43","66","4","4","72","31","3","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2006年6月"
"集計期間終了月","2006年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","25","21","7","4","12","0","3","2","0","",""
"区南部","2","0","0","0","0","0","2","0","0","",""
"区西南部","0","0","0","0","0","0","6","1","0","",""
"区西部","9","13","3","1","0","0","18","10","0","",""
"区西北部","16","3","1","1","5","0","4","0","0","",""
"区東北部","1","0","0","0","2","0","1","0","0","",""
"区東部","1","2","2","0","0","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","16","3","0","0","4","0","1","0","0","",""
"北多摩西部","19","4","1","0","1","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","6","6","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","89","46","14","6","24","0","44","19","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2006年6月"
"集計期間終了月","2006年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","39","28","10","16","12","1","10","3","0","10","6"
"区南部","6","0","0","2","0","0","7","0","0","5","1"
"区西南部","3","0","0","0","0","0","15","1","1","0","0"
"区西部","42","25","28","25","0","0","50","25","1","6","4"
"区西北部","33","12","8","10","9","3","10","1","0","6","2"
"区東北部","2","0","0","3","2","0","4","2","0","2","1"
"区東部","29","12","10","16","0","0","4","5","0","7","2"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","16","3","0","0","4","0","4","0","1","4","1"
"北多摩西部","19","4","1","0","1","0","0","0","0","2","1"
"北多摩南部","1","0","0","0","0","0","0","0","0","2","3"
"北多摩北部","0","0","0","0","0","0","11","12","0","0","3"
"島しょ","0","0","0","0","0","0","1","1","0","0","1"
"合計","190","84","57","72","28","4","116","50","3","41","25"


