"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2005年7月"
"集計期間終了月","2005年7月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","2","0"
"1～4歳","0","0","0","0","0","0","4","14","0"
"5～9歳","0","0","0","0","0","0","2","1","0"
"10～14歳","0","0","0","0","0","0","1","0","1"
"15～19歳","2","0","0","2","0","0","2","0","0"
"20～24歳","21","2","2","20","0","0","0","0","0"
"25～29歳","24","8","11","16","0","1","2","0","0"
"30～34歳","18","6","9","12","1","0","0","0","0"
"35～39歳","21","7","3","12","0","0","1","2","0"
"40～44歳","20","4","5","11","1","0","3","0","1"
"45～49歳","4","3","1","5","0","1","1","0","0"
"50～54歳","4","1","1","3","0","0","4","0","0"
"55～59歳","3","3","5","1","0","0","5","0","0"
"60～64歳","2","3","0","3","0","0","7","1","0"
"65～69歳","0","1","1","0","0","0","8","2","0"
"70歳以上","0","1","0","0","0","0","41","2","1"
"合計","119","39","38","85","2","2","91","24","3"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2005年7月"
"集計期間終了月","2005年7月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","4","0"
"1～4歳","0","0","0","0","0","0","6","8","0"
"5～9歳","0","0","0","0","0","0","1","1","0"
"10～14歳","1","0","0","0","0","0","0","0","0"
"15～19歳","7","2","0","2","0","0","2","0","0"
"20～24歳","38","9","2","7","4","0","0","0","0"
"25～29歳","9","10","3","2","3","0","1","0","0"
"30～34歳","15","7","3","2","5","0","0","2","0"
"35～39歳","7","4","0","0","0","0","1","1","0"
"40～44歳","3","3","0","1","3","1","0","0","0"
"45～49歳","2","5","0","0","2","0","3","1","0"
"50～54歳","3","1","0","0","0","0","2","0","0"
"55～59歳","0","1","0","0","0","0","3","0","0"
"60～64歳","0","0","0","0","0","0","5","1","0"
"65～69歳","0","2","0","0","0","0","2","2","0"
"70歳以上","0","1","0","0","0","0","24","2","0"
"合計","85","45","8","14","17","1","56","22","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2005年7月"
"集計期間終了月","2005年7月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","16","6","0"
"1～4歳","0","0","0","0","0","0","10","22","0"
"5～9歳","0","0","0","0","0","0","3","2","0"
"10～14歳","1","0","0","0","0","0","1","0","1"
"15～19歳","9","2","0","4","0","0","4","0","0"
"20～24歳","59","11","4","27","4","0","0","0","0"
"25～29歳","33","18","14","18","3","1","3","0","0"
"30～34歳","33","13","12","14","6","0","0","2","0"
"35～39歳","28","11","3","12","0","0","2","3","0"
"40～44歳","23","7","5","12","4","1","3","0","1"
"45～49歳","6","8","1","5","2","1","4","1","0"
"50～54歳","7","2","1","3","0","0","6","0","0"
"55～59歳","3","4","5","1","0","0","8","0","0"
"60～64歳","2","3","0","3","0","0","12","2","0"
"65～69歳","0","3","1","0","0","0","10","4","0"
"70歳以上","0","2","0","0","0","0","65","4","1"
"合計","204","84","46","99","19","3","147","46","3"
"定点数","41","41","41","41","41","41","25","25","25"


