"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年24週
"集計期間終了週",2012年24週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5","5","10","418"
"RSウイルス感染症","7","6","13","263"
"咽頭結膜熱","113","78","191","263"
"Ａ群溶血性レンサ球菌咽頭炎","467","427","894","263"
"感染性胃腸炎","1191","1093","2284","263"
"水痘","124","107","231","263"
"手足口病","92","53","145","263"
"伝染性紅斑","25","21","46","263"
"突発性発しん","105","99","204","263"
"百日咳","2","1","3","263"
"ヘルパンギーナ","111","97","208","263"
"流行性耳下腺炎","27","27","54","263"
"不明発しん症","21","15","36","263"
"川崎病","3","2","5","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","20","34","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","2","2","25"
"マイコプラズマ肺炎","7","12","19","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
