"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2011年1週"
"集計期間終了週","2011年1週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","50","3","2","8","46","20","1","3","4","2","0","5","0","1","0","0","0","0","1","0","0","","","","","",""
"区南部","50","9","5","21","78","15","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","75","4","8","3","64","16","0","5","2","0","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"区西部","76","6","2","5","61","16","0","3","1","1","0","1","0","0","0","4","0","0","0","0","0","","","","","",""
"区西北部","109","7","8","17","71","33","0","6","5","1","0","6","2","0","0","5","0","0","0","0","0","","","","","",""
"区東北部","110","5","10","19","110","33","0","5","5","1","0","6","0","0","1","0","0","0","5","1","0","","","","","",""
"区東部","101","3","7","22","138","29","0","5","9","3","1","3","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","49","0","0","4","32","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","101","9","15","27","172","47","1","6","13","0","1","8","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","65","10","4","13","73","23","0","3","6","0","0","5","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","62","8","1","16","65","34","0","6","6","0","0","17","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","86","5","9","21","70","31","0","4","7","0","0","10","1","2","0","2","0","0","0","0","0","","","","","",""
"島しょ","9","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","943","69","71","176","980","307","2","53","61","8","2","66","9","3","1","11","0","0","6","1","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2011年1週"
"集計期間終了週","2011年1週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","32","1","3","9","44","14","2","5","2","1","0","6","1","1","0","0","0","0","2","0","0","","","","","",""
"区南部","39","7","3","19","78","10","1","10","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"区西南部","78","2","4","6","82","17","0","3","5","0","0","2","1","0","0","1","0","0","0","0","0","","","","","",""
"区西部","73","2","7","3","44","8","0","4","3","1","0","3","0","0","0","3","0","0","1","0","0","","","","","",""
"区西北部","72","5","6","14","62","28","3","7","6","1","0","7","2","1","0","5","0","0","0","0","0","","","","","",""
"区東北部","113","3","10","28","103","21","0","3","8","1","0","6","2","0","1","1","0","0","1","1","0","","","","","",""
"区東部","67","7","5","20","142","34","1","5","6","3","1","4","1","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","44","1","1","1","32","5","0","4","1","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","93","12","12","17","169","52","3","7","7","4","1","10","1","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","58","8","1","10","56","21","2","4","4","1","1","9","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","58","1","2","18","62","34","1","6","4","0","0","14","0","0","0","0","0","0","1","0","0","","","","","",""
"北多摩北部","90","5","2","19","92","41","2","5","5","1","0","10","1","2","0","2","0","0","0","0","0","","","","","",""
"島しょ","10","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","827","54","56","164","966","287","15","63","52","13","4","74","11","4","1","15","0","0","5","1","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2011年1週"
"集計期間終了週","2011年1週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","82","4","5","17","90","34","3","8","6","3","0","11","1","1","0","0","0","0","3","0","0","31","20","2","4","4","0"
"区南部","89","16","8","40","156","25","1","16","4","0","0","0","0","0","0","1","0","0","0","0","0","33","21","3","1","1","0"
"区西南部","153","6","12","9","146","33","0","8","7","0","0","6","2","0","0","1","0","0","0","0","0","40","25","4","2","3","0"
"区西部","149","8","9","8","105","24","0","7","4","1","0","4","0","0","0","7","0","0","1","0","0","39","25","4","4","4","0"
"区西北部","181","12","14","31","133","61","3","13","11","2","0","13","2","1","0","5","0","0","0","0","0","55","34","6","2","2","0"
"区東北部","223","8","20","47","213","54","0","8","13","2","0","12","2","0","1","1","0","0","6","1","0","38","23","4","1","1","0"
"区東部","168","10","12","42","280","63","1","10","15","3","1","7","2","0","0","1","0","0","0","0","0","40","25","4","1","1","0"
"西多摩","93","1","1","5","64","12","0","5","1","0","1","2","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","194","21","27","44","341","99","4","13","20","4","1","18","3","0","0","1","0","0","0","0","0","45","28","4","1","1","0"
"北多摩西部","123","18","5","23","129","44","2","7","10","1","1","14","2","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"北多摩南部","120","9","3","34","127","68","1","12","10","0","0","31","0","0","0","0","0","0","1","0","0","32","21","2","2","3","0"
"北多摩北部","176","10","11","40","162","72","2","9","12","1","0","20","1","2","0","2","0","0","0","0","0","23","15","2","2","2","0"
"島しょ","19","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","1770","123","127","340","1946","594","17","116","113","17","4","140","15","4","1","19","0","0","11","1","0","413","260","38","23","25","0"


