"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2022年20週
"集計期間終了週",2022年20週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","1","1","407"
"RSウイルス感染症","6","5","11","257"
"咽頭結膜熱","21","13","34","257"
"Ａ群溶血性レンサ球菌咽頭炎","24","11","35","257"
"感染性胃腸炎","853","746","1599","257"
"水痘","5","9","14","257"
"手足口病","14","9","23","257"
"伝染性紅斑","1","0","1","257"
"突発性発しん","71","71","142","257"
"ヘルパンギーナ","1","1","2","257"
"流行性耳下腺炎","9","11","20","257"
"不明発しん症","3","2","5","257"
"川崎病","1","0","1","257"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","6","0","6","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
