"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年9月"
"集計期間終了月","2009年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1～4歳","0","0","0","0","0","0","3","14","0"
"5～9歳","0","0","0","0","0","0","3","0","1"
"10～14歳","0","0","0","0","0","0","2","0","0"
"15～19歳","2","0","0","2","0","0","1","0","0"
"20～24歳","14","1","2","11","0","0","0","0","0"
"25～29歳","21","8","6","13","0","1","0","0","0"
"30～34歳","24","7","12","13","0","3","0","0","0"
"35～39歳","12","8","10","11","0","3","1","0","0"
"40～44歳","19","7","13","7","0","1","2","0","0"
"45～49歳","6","7","4","3","0","0","0","0","0"
"50～54歳","8","2","2","0","0","0","0","0","0"
"55～59歳","5","3","0","4","0","1","0","2","0"
"60～64歳","2","3","1","1","0","0","7","1","0"
"65～69歳","0","2","1","2","0","0","4","1","0"
"70歳以上","1","3","0","0","0","0","35","4","0"
"合計","114","51","51","67","0","9","62","24","1"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年9月"
"集計期間終了月","2009年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","1","0"
"1～4歳","0","0","0","0","0","0","2","7","0"
"5～9歳","0","0","0","0","0","0","2","1","0"
"10～14歳","1","0","0","0","0","0","2","0","0"
"15～19歳","15","1","1","3","0","0","0","0","0"
"20～24歳","28","6","5","4","4","0","0","0","0"
"25～29歳","19","10","5","3","2","0","0","0","0"
"30～34歳","17","6","2","0","3","0","2","0","0"
"35～39歳","9","7","4","2","1","0","2","0","0"
"40～44歳","3","2","1","0","1","0","0","0","0"
"45～49歳","1","0","0","0","0","0","2","0","0"
"50～54歳","1","1","0","1","0","0","1","0","0"
"55～59歳","0","1","0","0","0","0","3","0","0"
"60～64歳","0","2","0","0","1","0","1","0","0"
"65～69歳","1","1","0","0","0","0","3","0","0"
"70歳以上","0","2","1","0","1","0","18","1","0"
"合計","95","39","19","13","13","0","42","10","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年9月"
"集計期間終了月","2009年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","3","0"
"1～4歳","0","0","0","0","0","0","5","21","0"
"5～9歳","0","0","0","0","0","0","5","1","1"
"10～14歳","1","0","0","0","0","0","4","0","0"
"15～19歳","17","1","1","5","0","0","1","0","0"
"20～24歳","42","7","7","15","4","0","0","0","0"
"25～29歳","40","18","11","16","2","1","0","0","0"
"30～34歳","41","13","14","13","3","3","2","0","0"
"35～39歳","21","15","14","13","1","3","3","0","0"
"40～44歳","22","9","14","7","1","1","2","0","0"
"45～49歳","7","7","4","3","0","0","2","0","0"
"50～54歳","9","3","2","1","0","0","1","0","0"
"55～59歳","5","4","0","4","0","1","3","2","0"
"60～64歳","2","5","1","1","1","0","8","1","0"
"65～69歳","1","3","1","2","0","0","7","1","0"
"70歳以上","1","5","1","0","1","0","53","5","0"
"合計","209","90","70","80","13","9","104","34","1"
"定点数","55","55","55","55","55","55","23","23","23"


