"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年19週
"集計期間終了週",2011年19週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","153","155","308","416"
"RSウイルス感染症","4","6","10","262"
"咽頭結膜熱","52","35","87","262"
"Ａ群溶血性レンサ球菌咽頭炎","359","301","660","262"
"感染性胃腸炎","1004","874","1878","262"
"水痘","209","194","403","262"
"手足口病","12","6","18","262"
"伝染性紅斑","80","103","183","262"
"突発性発しん","90","86","176","262"
"百日咳","1","5","6","262"
"ヘルパンギーナ","8","6","14","262"
"流行性耳下腺炎","60","42","102","262"
"不明発しん症","15","13","28","262"
"川崎病","4","0","4","262"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","9","7","16","37"
"細菌性髄膜炎","0","0","0","23"
"無菌性髄膜炎","0","0","0","23"
"マイコプラズマ肺炎","2","3","5","23"
"クラミジア肺炎(オウム病は除く)","0","0","0","23"
"インフルエンザ入院","0","0","0","25"
