"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2010年13週"
"集計期間終了週","2010年13週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","8","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","4","1","1","30","7","0","0","16","0","0","0","0","1","0","0","0","0","0","0"
"1歳","0","2","2","2","111","27","4","0","18","0","2","3","1","1","0","0","0","0","0","0"
"2歳","0","2","1","6","75","30","5","2","3","0","1","5","0","0","0","0","0","0","0","0"
"3歳","2","0","2","13","56","21","3","2","0","0","1","2","0","0","0","0","0","0","0","0"
"4歳","2","0","2","10","50","16","0","1","1","0","0","6","0","0","0","0","0","0","0","0"
"5歳","1","0","0","19","39","26","1","6","0","0","1","14","0","0","0","0","1","0","0","0"
"6歳","1","0","0","17","37","15","0","4","0","0","0","9","2","0","0","0","0","0","0","0"
"7歳","0","0","0","9","25","7","1","1","0","0","0","7","0","0","0","0","0","0","0","0"
"8歳","1","0","0","4","16","0","0","4","0","0","0","3","0","0","0","0","0","0","0","0"
"9歳","0","0","0","8","20","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"10～14歳","2","0","0","7","28","0","0","1","0","0","0","7","0","0","0","0","0","0","2","0"
"15～19歳","0","0","1","1","15","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"20～29歳","1","0","0","0","53","1","0","0","0","2","1","1","0","0","0","1","0","0","0","0"
"30～39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","12","8","9","97","563","152","14","22","40","3","7","60","3","2","0","4","1","0","2","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2010年13週"
"集計期間終了週","2010年13週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","1","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","2","1","0","33","8","0","0","20","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","2","2","5","81","25","1","0","14","0","0","0","1","0","0","0","0","0","0","0"
"2歳","0","3","1","4","71","33","2","3","4","0","0","2","1","0","0","0","0","0","0","0"
"3歳","0","1","0","9","45","17","1","5","2","0","0","10","0","0","0","0","0","0","0","0"
"4歳","1","0","2","6","42","23","0","2","0","0","0","9","0","2","0","0","0","0","0","0"
"5歳","0","0","0","13","37","15","1","1","0","0","0","9","0","1","0","0","0","0","0","0"
"6歳","0","0","0","11","25","7","0","3","0","0","0","6","0","1","0","0","0","0","0","0"
"7歳","0","0","0","7","14","8","0","1","0","0","0","3","0","0","0","0","0","0","0","0"
"8歳","0","0","1","9","14","3","0","4","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","0","0","0","4","14","2","0","1","0","0","0","4","0","0","0","0","0","0","1","0"
"10～14歳","0","0","0","9","41","0","0","1","1","0","0","4","0","0","0","0","0","0","2","0"
"15～19歳","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","1","0","1","10","103","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"30～39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","8","9","8","87","538","146","5","22","41","0","0","50","2","4","0","7","0","1","3","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2010年13週"
"集計期間終了週","2010年13週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","1","0","0","11","5","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","6","2","1","63","15","0","0","36","0","0","0","0","1","0","0","0","0","0","0"
"1歳","0","4","4","7","192","52","5","0","32","0","2","3","2","1","0","0","0","0","0","0"
"2歳","0","5","2","10","146","63","7","5","7","0","1","7","1","0","0","0","0","0","0","0"
"3歳","2","1","2","22","101","38","4","7","2","0","1","12","0","0","0","0","0","0","0","0"
"4歳","3","0","4","16","92","39","0","3","1","0","0","15","0","2","0","0","0","0","0","0"
"5歳","1","0","0","32","76","41","2","7","0","0","1","23","0","1","0","0","1","0","0","0"
"6歳","1","0","0","28","62","22","0","7","0","0","0","15","2","1","0","0","0","0","0","0"
"7歳","0","0","0","16","39","15","1","2","0","0","0","10","0","0","0","0","0","0","0","0"
"8歳","1","0","1","13","30","3","0","8","0","0","0","4","0","0","0","0","0","0","0","0"
"9歳","0","0","0","12","34","3","0","2","0","0","0","6","0","0","0","0","0","0","1","0"
"10～14歳","2","0","0","16","69","0","0","2","1","0","0","11","0","0","0","0","0","0","4","0"
"15～19歳","1","0","1","1","30","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"20～29歳","2","0","1","10","156","2","0","1","0","2","1","3","0","0","0","1","0","0","0","0"
"30～39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"50～59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","20","17","17","184","1101","298","19","44","81","3","7","110","5","6","0","11","1","1","5","0"
"定点数","287","147","147","147","147","147","147","147","147","147","147","147","147","147","39","39","24","24","24","24"


