"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2014年48週
"集計期間終了週",2014年48週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","825","672","1497","414"
"RSウイルス感染症","187","153","340","263"
"咽頭結膜熱","52","61","113","263"
"Ａ群溶血性レンサ球菌咽頭炎","411","375","786","263"
"感染性胃腸炎","1188","1120","2308","263"
"水痘","132","117","249","263"
"手足口病","58","41","99","263"
"伝染性紅斑","96","80","176","263"
"突発性発しん","77","64","141","263"
"百日咳","1","0","1","263"
"ヘルパンギーナ","12","10","22","263"
"流行性耳下腺炎","38","35","73","263"
"不明発しん症","8","7","15","263"
"川崎病","3","2","5","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","8","14","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","6","4","10","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","7","2","9","25"
