"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2007年43週
"集計期間終了週",2007年43週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","66","46","112","287"
"RSウイルス感染症","18","11","29","149"
"咽頭結膜熱","9","11","20","149"
"Ａ群溶血性レンサ球菌咽頭炎","109","94","203","149"
"感染性胃腸炎","305","267","572","149"
"水痘","38","36","74","149"
"手足口病","42","38","80","149"
"伝染性紅斑","11","7","18","149"
"突発性発しん","57","43","100","149"
"百日咳","4","1","5","149"
"風しん","0","0","0","149"
"ヘルパンギーナ","23","11","34","149"
"麻しん（成人麻しん以外）","2","0","2","149"
"流行性耳下腺炎","9","16","25","149"
"不明発しん症","6","4","10","149"
"川崎病","0","0","0","149"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","20","7","27","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"成人麻しん","0","2","2","25"
