"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年47週
"集計期間終了週",2018年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","107","101","208","417"
"RSウイルス感染症","32","34","66","262"
"咽頭結膜熱","60","43","103","262"
"Ａ群溶血性レンサ球菌咽頭炎","424","346","770","262"
"感染性胃腸炎","1080","933","2013","262"
"水痘","57","56","113","262"
"手足口病","169","134","303","262"
"伝染性紅斑","194","223","417","262"
"突発性発しん","73","58","131","262"
"ヘルパンギーナ","12","13","25","262"
"流行性耳下腺炎","10","4","14","262"
"不明発しん症","12","10","22","262"
"川崎病","4","0","4","262"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","9","6","15","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","6","4","10","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","0","0","0","25"
