"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2007年26週
"集計期間終了週",2007年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","3","3","287"
"RSウイルス感染症","4","1","5","149"
"咽頭結膜熱","57","51","108","149"
"Ａ群溶血性レンサ球菌咽頭炎","155","133","288","149"
"感染性胃腸炎","405","309","714","149"
"水痘","114","99","213","149"
"手足口病","55","52","107","149"
"伝染性紅斑","57","59","116","149"
"突発性発しん","67","66","133","149"
"百日咳","1","2","3","149"
"風しん","0","0","0","149"
"ヘルパンギーナ","109","103","212","149"
"麻しん（成人麻しん以外）","7","5","12","149"
"流行性耳下腺炎","42","30","72","149"
"不明発しん症","18","14","32","149"
"川崎病","0","0","0","149"
"急性出血性結膜炎","4","1","5","37"
"流行性角結膜炎","8","9","17","37"
"細菌性髄膜炎","3","1","4","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"成人麻しん","6","4","10","25"
