"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","32","39","25","19","0","0","7","4","3","0","",""
"区南部","6","3","2","8","0","1","0","0","0","0","",""
"区西南部","4","2","0","1","0","0","3","1","0","0","",""
"区西部","29","14","25","27","0","4","15","1","0","0","",""
"区西北部","12","4","8","6","0","1","2","4","0","0","",""
"区東北部","0","0","0","1","0","0","2","0","0","0","",""
"区東部","14","8","1","15","0","0","5","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","1","0","0","2","0","0","0","",""
"北多摩西部","2","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","10","3","2","0","",""
"北多摩北部","0","0","0","0","0","0","2","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","99","70","61","78","0","6","48","17","5","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","7","8","3","0","0","1","2","1","2","0","",""
"区南部","7","0","0","3","0","0","1","0","0","0","",""
"区西南部","5","7","3","1","1","0","1","5","0","0","",""
"区西部","8","5","14","4","1","0","5","0","0","0","",""
"区西北部","8","5","2","3","1","0","2","3","0","0","",""
"区東北部","6","0","0","1","0","0","4","6","0","0","",""
"区東部","12","2","2","1","1","0","3","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","13","3","0","3","2","0","1","0","0","0","",""
"北多摩西部","13","1","2","4","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","7","1","1","0","",""
"北多摩北部","1","1","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","80","32","27","20","6","1","27","19","3","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年11月"
"集計期間終了月","2013年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","39","47","28","19","0","1","9","5","5","0","10","4"
"区南部","13","3","2","11","0","1","1","0","0","0","3","1"
"区西南部","9","9","3","2","1","0","4","6","0","0","4","3"
"区西部","37","19","39","31","1","4","20","1","0","0","11","4"
"区西北部","20","9","10","9","1","1","4","7","0","0","6","2"
"区東北部","6","0","0","2","0","0","6","6","0","0","3","1"
"区東部","26","10","3","16","1","0","8","3","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","13","3","0","4","2","0","3","0","0","0","5","1"
"北多摩西部","15","1","2","4","0","0","0","0","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","17","4","3","0","3","3"
"北多摩北部","1","1","0","0","0","0","3","4","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","179","102","88","98","6","7","75","36","8","0","54","25"


