"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年35週
"集計期間終了週",2008年35週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","2","2","282"
"RSウイルス感染症","8","4","12","146"
"咽頭結膜熱","41","30","71","146"
"Ａ群溶血性レンサ球菌咽頭炎","53","46","99","146"
"感染性胃腸炎","219","204","423","146"
"水痘","20","13","33","146"
"手足口病","71","48","119","146"
"伝染性紅斑","3","6","9","146"
"突発性発しん","65","46","111","146"
"百日咳","2","4","6","146"
"ヘルパンギーナ","101","90","191","146"
"流行性耳下腺炎","46","31","77","146"
"不明発しん症","2","5","7","146"
"川崎病","0","0","0","146"
"急性出血性結膜炎","3","0","3","39"
"流行性角結膜炎","11","7","18","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","1","0","1","24"
"マイコプラズマ肺炎","2","6","8","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
