"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2003年7週"
"集計期間終了週","2003年7週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","147","0","6","8","39","8","0","2","1","0","0","0","1","2","0","0","0","2","0","0","0","0","0","2","","","","","",""
"区南部","130","0","0","5","40","9","0","1","4","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","124","0","1","0","65","6","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","187","0","0","1","64","2","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","141","0","0","3","39","6","0","1","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","105","0","0","3","35","8","0","0","5","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","90","0","0","7","42","3","2","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
"西多摩","44","0","0","4","16","2","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","91","0","0","2","35","6","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","82","0","0","2","10","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","131","0","0","2","18","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","150","0","0","2","17","5","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1456","0","7","39","420","61","2","9","22","0","1","0","4","11","2","0","0","9","0","0","0","0","0","3","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2003年7週"
"集計期間終了週","2003年7週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","155","0","2","10","41","4","0","2","4","0","0","0","1","3","0","0","0","1","0","0","0","0","0","2","","","","","",""
"区南部","117","0","0","5","54","5","0","1","2","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","131","0","2","4","52","3","0","1","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","184","0","0","3","61","1","0","1","1","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","143","0","0","3","35","10","0","2","3","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","125","0","0","4","36","5","0","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","95","0","0","8","45","4","2","0","5","0","0","0","2","1","0","0","0","1","0","0","0","0","0","1","","","","","",""
"西多摩","35","0","0","4","18","2","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","101","0","0","2","34","2","0","0","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","57","0","0","2","14","2","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","106","0","0","2","11","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","153","0","0","2","19","10","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1415","0","4","49","420","49","2","10","30","0","1","3","7","14","2","0","0","8","0","0","0","0","0","3","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2003年7週"
"集計期間終了週","2003年7週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
