"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年51週
"集計期間終了週",2011年51週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","145","146","291","417"
"RSウイルス感染症","71","73","144","262"
"咽頭結膜熱","63","62","125","262"
"Ａ群溶血性レンサ球菌咽頭炎","366","335","701","262"
"感染性胃腸炎","2722","2691","5413","262"
"水痘","389","343","732","262"
"手足口病","19","16","35","262"
"伝染性紅斑","32","27","59","262"
"突発性発しん","74","102","176","262"
"百日咳","4","3","7","262"
"ヘルパンギーナ","6","5","11","262"
"流行性耳下腺炎","46","39","85","262"
"不明発しん症","8","11","19","262"
"川崎病","1","2","3","262"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","10","14","24","38"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","1","1","2","25"
"マイコプラズマ肺炎","17","16","33","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","0","1","1","25"
