"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年7月"
"集計期間終了月","2012年7月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","8","2","0","0"
"1～4歳","0","0","0","0","0","0","7","7","0","0"
"5～9歳","0","0","0","0","0","0","3","2","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0","0"
"15～19歳","1","0","0","0","0","0","1","0","0","0"
"20～24歳","22","3","1","11","0","3","0","0","1","0"
"25～29歳","28","9","6","17","0","2","0","0","0","0"
"30～34歳","32","7","3","27","0","0","0","0","0","0"
"35～39歳","13","9","3","10","0","0","1","0","0","0"
"40～44歳","16","10","11","6","0","1","1","0","0","0"
"45～49歳","11","14","5","4","0","1","3","0","0","0"
"50～54歳","7","3","0","0","0","0","1","1","1","0"
"55～59歳","3","1","3","1","0","0","0","1","0","0"
"60～64歳","1","4","1","0","0","0","1","2","0","0"
"65～69歳","0","2","2","0","0","0","3","0","1","0"
"70歳以上","0","1","0","1","0","0","25","1","1","0"
"合計","134","63","35","77","0","7","56","16","4","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年7月"
"集計期間終了月","2012年7月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","13","4","0","0"
"1～4歳","0","0","0","0","0","0","7","15","0","0"
"5～9歳","0","0","0","0","0","0","5","0","0","0"
"10～14歳","0","0","0","0","0","0","0","2","0","0"
"15～19歳","9","4","1","2","1","1","3","0","0","0"
"20～24歳","30","8","4","3","2","0","0","0","0","0"
"25～29歳","25","12","5","3","1","0","1","0","0","0"
"30～34歳","13","8","2","2","1","0","1","0","0","0"
"35～39歳","8","4","1","3","1","0","1","1","0","0"
"40～44歳","3","3","2","0","1","0","0","0","0","0"
"45～49歳","0","1","0","0","2","0","0","0","0","0"
"50～54歳","0","1","0","0","0","0","2","0","0","0"
"55～59歳","0","1","0","0","0","0","0","0","0","0"
"60～64歳","0","1","0","0","1","0","1","0","0","0"
"65～69歳","0","1","0","0","0","0","4","0","0","0"
"70歳以上","0","3","0","0","1","0","15","2","0","0"
"合計","88","47","15","13","11","1","53","24","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年7月"
"集計期間終了月","2012年7月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","21","6","0","0"
"1～4歳","0","0","0","0","0","0","14","22","0","0"
"5～9歳","0","0","0","0","0","0","8","2","0","0"
"10～14歳","0","0","0","0","0","0","2","2","0","0"
"15～19歳","10","4","1","2","1","1","4","0","0","0"
"20～24歳","52","11","5","14","2","3","0","0","1","0"
"25～29歳","53","21","11","20","1","2","1","0","0","0"
"30～34歳","45","15","5","29","1","0","1","0","0","0"
"35～39歳","21","13","4","13","1","0","2","1","0","0"
"40～44歳","19","13","13","6","1","1","1","0","0","0"
"45～49歳","11","15","5","4","2","1","3","0","0","0"
"50～54歳","7","4","0","0","0","0","3","1","1","0"
"55～59歳","3","2","3","1","0","0","0","1","0","0"
"60～64歳","1","5","1","0","1","0","2","2","0","0"
"65～69歳","0","3","2","0","0","0","7","0","1","0"
"70歳以上","0","4","0","1","1","0","40","3","1","0"
"合計","222","110","50","90","11","8","109","40","4","0"
"定点数","54","54","54","54","54","54","24","24","24","24"


