"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年36週
"集計期間終了週",2024年36週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","106","102","208","419"
"新型コロナウイルス感染症（COVID-19）","892","1119","2011","419"
"RSウイルス感染症","32","37","69","264"
"咽頭結膜熱","20","33","53","264"
"Ａ群溶血性レンサ球菌咽頭炎","243","208","451","264"
"感染性胃腸炎","455","384","839","264"
"水痘","12","20","32","264"
"手足口病","1141","892","2033","264"
"伝染性紅斑","81","89","170","264"
"突発性発しん","61","38","99","264"
"ヘルパンギーナ","121","101","222","264"
"流行性耳下腺炎","6","10","16","264"
"不明発しん症","3","3","6","264"
"川崎病","2","1","3","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","5","14","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","3","4","7","25"
"マイコプラズマ肺炎","23","16","39","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","1","3","25"
"COVID-19入院","89","62","151","25"
