"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年8週"
"集計期間終了週","2011年8週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","0","0","0","7","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","14","0","0","2","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"みなと","45","2","5","6","25","9","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","39","1","5","6","21","4","0","0","2","0","0","0","0","0","0","1","0","0","2","0","0","","","","","",""
"文京","75","0","0","5","10","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","48","0","0","1","29","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","55","0","1","6","21","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","156","0","2","18","90","6","0","3","5","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","85","0","2","9","48","14","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","20","0","1","3","16","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","156","2","4","20","99","3","0","3","3","0","0","2","0","0","0","0","1","0","0","0","0","","","","","",""
"世田谷","244","1","3","17","89","10","0","1","2","0","1","3","1","1","0","0","0","0","0","0","0","","","","","",""
"渋谷区","9","0","0","2","9","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"中野区","31","1","0","5","41","2","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","100","0","0","6","52","5","0","4","4","0","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"池袋","26","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","50","0","0","2","36","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","90","2","4","23","38","4","0","0","2","2","0","2","2","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","53","0","0","1","32","4","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","165","0","5","16","82","10","0","6","3","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","151","3","2","22","73","14","0","1","7","1","0","2","0","0","1","3","0","0","0","0","0","","","","","",""
"葛飾区","127","0","2","17","26","7","0","1","1","0","0","3","0","0","0","0","0","0","2","0","0","","","","","",""
"江戸川","301","1","1","48","82","13","2","3","3","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","256","0","7","52","121","22","0","4","7","0","0","4","4","0","0","0","0","0","0","0","0","","","","","",""
"町田市","225","0","0","29","94","12","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","63","1","0","5","40","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","122","0","2","14","78","2","0","0","6","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","163","1","0","13","76","5","0","3","3","0","0","10","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩府中","417","0","7","30","142","15","1","7","4","0","0","4","0","1","0","0","0","0","1","0","0","","","","","",""
"多摩小平","197","1","1","35","82","7","0","8","7","0","0","3","0","1","0","1","1","0","1","0","0","","","","","",""
"島しょ","18","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3508","16","54","416","1566","194","4","64","75","3","1","47","8","4","1","8","2","0","6","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年8週"
"集計期間終了週","2011年8週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","11","0","0","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","26","0","1","6","7","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","31","0","4","3","30","6","1","2","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","40","0","2","9","17","3","0","0","1","0","0","1","0","0","0","1","0","0","2","0","0","","","","","",""
"文京","51","0","0","4","15","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","53","0","0","3","38","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","38","1","1","5","13","1","0","4","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","155","3","2","8","86","10","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"品川区","91","0","0","6","51","12","0","2","0","0","0","2","1","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","27","0","0","1","24","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","140","2","7","19","88","5","0","5","2","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","232","1","1","32","65","6","1","3","3","0","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"渋谷区","23","0","0","0","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","29","0","0","3","47","3","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","83","0","0","3","53","4","0","2","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","30","0","0","1","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","49","0","1","1","27","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","84","4","1","13","31","5","0","4","5","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","36","0","1","3","25","1","0","6","0","1","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","156","0","2","14","68","10","1","8","5","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","176","0","3","28","68","11","0","1","2","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","119","0","0","26","24","5","0","1","3","0","0","1","0","0","0","0","0","0","7","0","0","","","","","",""
"江戸川","267","0","2","42","86","1","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","228","1","6","28","76","14","0","8","4","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","199","0","1","18","83","22","0","1","3","0","1","3","1","1","0","0","0","0","0","0","0","","","","","",""
"西多摩","61","0","1","5","33","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","162","2","3","15","72","2","1","8","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","178","3","0","12","74","7","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","385","0","0","29","107","12","0","5","4","0","0","7","0","0","0","0","0","1","2","0","0","","","","","",""
"多摩小平","186","1","0","28","50","7","1","7","7","0","0","2","1","0","0","0","0","0","1","0","0","","","","","",""
"島しょ","13","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3359","19","39","367","1388","169","6","77","63","4","3","35","8","1","1","2","0","1","12","0","0","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2011年8週"
"集計期間終了週","2011年8週"
"性別","男女合計"

