"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2016年39週
"集計期間終了週",2016年39週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","30","33","63","414"
"RSウイルス感染症","369","296","665","260"
"咽頭結膜熱","41","27","68","260"
"Ａ群溶血性レンサ球菌咽頭炎","232","182","414","260"
"感染性胃腸炎","557","532","1089","260"
"水痘","46","39","85","260"
"手足口病","262","199","461","260"
"伝染性紅斑","13","5","18","260"
"突発性発しん","72","74","146","260"
"百日咳","0","0","0","260"
"ヘルパンギーナ","169","160","329","260"
"流行性耳下腺炎","117","104","221","260"
"不明発しん症","16","15","31","260"
"川崎病","2","1","3","260"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","17","13","30","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","2","3","25"
"マイコプラズマ肺炎","14","14","28","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","1","1","25"
