"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年44週
"集計期間終了週",2008年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3","8","11","283"
"RSウイルス感染症","80","76","156","145"
"咽頭結膜熱","14","13","27","145"
"Ａ群溶血性レンサ球菌咽頭炎","127","107","234","145"
"感染性胃腸炎","356","322","678","145"
"水痘","53","58","111","145"
"手足口病","72","57","129","145"
"伝染性紅斑","11","15","26","145"
"突発性発しん","56","46","102","145"
"百日咳","3","1","4","145"
"ヘルパンギーナ","6","8","14","145"
"流行性耳下腺炎","38","32","70","145"
"不明発しん症","19","9","28","145"
"川崎病","0","0","0","145"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","8","4","12","39"
"細菌性髄膜炎","1","0","1","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","4","4","8","24"
"クラミジア肺炎(オウム病は除く)","1","1","2","24"
