"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年12週
"集計期間終了週",2023年12週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1088","1056","2144","413"
"RSウイルス感染症","20","17","37","259"
"咽頭結膜熱","15","14","29","259"
"Ａ群溶血性レンサ球菌咽頭炎","62","31","93","259"
"感染性胃腸炎","556","493","1049","259"
"水痘","10","10","20","259"
"手足口病","3","3","6","259"
"伝染性紅斑","2","1","3","259"
"突発性発しん","29","30","59","259"
"ヘルパンギーナ","2","0","2","259"
"流行性耳下腺炎","7","0","7","259"
"不明発しん症","1","7","8","259"
"川崎病","1","0","1","259"
"急性出血性結膜炎","0","2","2","38"
"流行性角結膜炎","4","2","6","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","10","3","13","25"
