"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年50週
"集計期間終了週",2012年50週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","242","225","467","418"
"RSウイルス感染症","77","58","135","263"
"咽頭結膜熱","106","78","184","263"
"Ａ群溶血性レンサ球菌咽頭炎","336","310","646","263"
"感染性胃腸炎","3547","3326","6873","263"
"水痘","181","200","381","263"
"手足口病","63","44","107","263"
"伝染性紅斑","10","12","22","263"
"突発性発しん","75","61","136","263"
"百日咳","1","0","1","263"
"ヘルパンギーナ","7","9","16","263"
"流行性耳下腺炎","29","30","59","263"
"不明発しん症","10","10","20","263"
"川崎病","1","2","3","263"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","11","9","20","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","5","2","7","25"
"マイコプラズマ肺炎","9","13","22","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"インフルエンザ入院","1","0","1","25"
