"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年9月"
"集計期間終了月","2012年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","5","0","0"
"1～4歳","0","0","0","0","0","0","5","6","0","0"
"5～9歳","0","0","0","0","0","0","2","0","0","0"
"10～14歳","0","0","0","0","0","0","6","0","0","0"
"15～19歳","4","0","0","3","0","0","0","1","0","0"
"20～24歳","19","4","3","8","1","0","0","0","0","0"
"25～29歳","23","5","6","16","1","0","1","0","0","0"
"30～34歳","22","8","9","11","1","2","0","0","0","0"
"35～39歳","17","8","7","11","0","2","1","0","0","0"
"40～44歳","11","12","6","6","0","2","1","1","0","0"
"45～49歳","8","9","4","5","0","4","2","0","0","0"
"50～54歳","9","5","2","4","1","0","0","0","0","0"
"55～59歳","4","3","2","0","0","0","1","0","0","0"
"60～64歳","3","4","3","1","0","1","1","2","0","0"
"65～69歳","0","3","1","0","0","0","5","1","0","0"
"70歳以上","0","2","1","0","0","0","22","4","1","0"
"合計","120","63","44","65","4","11","51","20","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年9月"
"集計期間終了月","2012年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","0","0","0","0"
"1～4歳","0","0","0","0","0","0","3","5","0","0"
"5～9歳","0","0","0","0","0","0","5","0","0","0"
"10～14歳","0","0","0","0","0","0","0","0","0","0"
"15～19歳","13","1","2","1","0","0","0","1","0","0"
"20～24歳","26","7","7","5","2","0","1","0","0","0"
"25～29歳","20","5","3","4","2","0","0","1","0","0"
"30～34歳","10","6","7","1","1","0","1","0","0","0"
"35～39歳","10","7","2","1","0","0","0","0","0","0"
"40～44歳","3","4","2","0","1","0","1","0","0","0"
"45～49歳","2","2","1","1","0","0","0","0","0","0"
"50～54歳","0","0","0","0","0","0","1","0","0","0"
"55～59歳","0","1","0","0","0","0","1","0","0","0"
"60～64歳","1","1","0","0","1","0","2","0","0","0"
"65～69歳","0","0","0","0","0","0","3","2","0","0"
"70歳以上","0","1","0","0","1","0","16","4","0","0"
"合計","85","35","24","13","8","0","34","13","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年9月"
"集計期間終了月","2012年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","5","0","0"
"1～4歳","0","0","0","0","0","0","8","11","0","0"
"5～9歳","0","0","0","0","0","0","7","0","0","0"
"10～14歳","0","0","0","0","0","0","6","0","0","0"
"15～19歳","17","1","2","4","0","0","0","2","0","0"
"20～24歳","45","11","10","13","3","0","1","0","0","0"
"25～29歳","43","10","9","20","3","0","1","1","0","0"
"30～34歳","32","14","16","12","2","2","1","0","0","0"
"35～39歳","27","15","9","12","0","2","1","0","0","0"
"40～44歳","14","16","8","6","1","2","2","1","0","0"
"45～49歳","10","11","5","6","0","4","2","0","0","0"
"50～54歳","9","5","2","4","1","0","1","0","0","0"
"55～59歳","4","4","2","0","0","0","2","0","0","0"
"60～64歳","4","5","3","1","1","1","3","2","0","0"
"65～69歳","0","3","1","0","0","0","8","3","0","0"
"70歳以上","0","3","1","0","1","0","38","8","1","0"
"合計","205","98","68","78","12","11","85","33","1","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


