"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2011年5月"
"集計期間終了月","2011年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","6","1","0","6","0","0","0","0","0","0","",""
"中央区","14","1","1","6","0","0","0","0","0","0","",""
"みなと","10","23","11","4","0","0","7","0","0","0","",""
"新宿区","31","11","23","28","0","6","7","3","0","0","",""
"文京","6","2","1","3","0","0","0","3","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","2","0","0","2","0","0","4","4","1","0","",""
"江東区","14","7","4","9","0","0","0","0","0","0","",""
"品川区","1","0","0","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","1","0","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","1","0","",""
"渋谷区","4","5","1","3","0","0","0","0","0","0","",""
"中野区","3","1","0","3","0","0","0","0","0","0","",""
"杉並","4","0","0","1","0","0","4","0","2","0","",""
"池袋","11","5","8","6","0","1","2","2","0","0","",""
"北区","1","0","2","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","3","0","0","1","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","5","0","0","1","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","4","2","0","0","",""
"江戸川","3","1","0","3","0","1","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","1","0","0","49","13","0","0","",""
"多摩小平","0","0","0","0","0","0","1","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","117","57","51","81","0","8","82","31","4","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2011年5月"
"集計期間終了月","2011年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","0","",""
"中央区","6","0","0","0","1","0","0","0","0","0","",""
"みなと","5","4","5","0","0","0","3","0","0","0","",""
"新宿区","8","14","9","7","2","0","2","2","0","0","",""
"文京","0","0","0","0","0","0","2","1","0","0","",""
"台東","1","0","1","0","0","0","0","0","0","0","",""
"墨田区","1","2","1","0","0","0","0","0","0","0","",""
"江東区","1","0","0","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","0","0","0","0","",""
"渋谷区","4","6","2","2","0","0","0","0","0","0","",""
"中野区","0","0","1","0","1","0","0","0","0","0","",""
"杉並","2","0","0","1","0","0","2","0","0","0","",""
"池袋","13","7","2","1","2","0","1","3","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","0","",""
"荒川区","1","0","0","0","1","0","0","0","0","0","",""
"板橋区","2","1","0","1","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","7","8","0","0","",""
"江戸川","12","1","2","0","1","0","0","0","0","0","",""
"八王子市","4","2","1","0","0","0","0","0","0","0","",""
"町田市","3","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","16","0","2","2","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","16","7","0","0","",""
"多摩小平","0","0","0","0","1","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","83","37","26","14","10","0","33","23","0","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2011年5月"
"集計期間終了月","2011年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","6","1","0","6","0","0","0","0","0","0","2","2"
"中央区","20","1","1","6","1","0","0","0","0","0","3","0"
"みなと","15","27","16","4","0","0","10","0","0","0","2","1"
"新宿区","39","25","32","35","2","6","9","5","0","0","7","2"
"文京","6","2","1","3","0","0","2","4","0","0","1","1"
"台東","1","0","1","0","0","0","0","0","0","0","2","0"
"墨田区","3","2","1","2","0","0","4","4","1","0","2","1"
"江東区","15","7","4","9","0","0","0","0","0","0","2","0"
"品川区","1","0","0","1","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","5","0","0","0","0","0","1","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","2","0","1","0","0","1"
"渋谷区","8","11","3","5","0","0","0","0","0","0","4","1"
"中野区","3","1","1","3","1","0","0","0","0","0","2","1"
"杉並","6","0","0","2","0","0","6","0","2","0","2","1"
"池袋","24","12","10","7","2","1","3","5","0","0","3","1"
"北区","1","0","2","1","0","0","0","0","0","0","1","0"
"荒川区","1","0","0","0","1","0","0","0","0","0","1","0"
"板橋区","2","1","0","4","0","0","1","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","0","0","1","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","11","10","0","0","0","1"
"江戸川","15","2","2","3","1","1","0","0","0","0","2","0"
"八王子市","4","2","1","0","0","0","0","0","0","0","4","1"
"町田市","3","0","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
