"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2002年7週"
"集計期間終了週","2002年7週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","3","0","0","0","7","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","16","0","0","0","31","4","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","52","0","0","0","67","13","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","70","0","0","2","47","14","1","3","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"3歳","94","0","0","2","34","15","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"4歳","93","0","0","6","46","13","0","5","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0"
"5歳","85","0","0","7","32","8","0","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0"
"6歳","53","0","0","4","33","4","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"7歳","50","0","0","2","38","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"8歳","34","0","0","2","32","1","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"9歳","28","0","0","1","22","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10～14歳","116","0","0","1","60","0","0","0","0","0","0","1","1","5","0","0","0","0","0","0","0","1","0","0"
"15～19歳","60","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","113","0","0","0","76","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","2"
"30～39歳","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0"
"40～49歳","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70～79歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1057","0","0","27","545","76","1","15","22","0","0","3","3","35","3","1","0","7","0","0","2","1","0","2"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2002年7週"
"集計期間終了週","2002年7週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","5","0","0","0","4","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","13","0","0","0","24","3","0","1","21","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"1歳","48","0","0","1","50","13","0","2","11","0","0","1","1","0","7","0","0","0","0","0","0","0","0","0"
"2歳","60","0","0","0","39","12","5","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0"
"3歳","74","0","0","2","46","8","1","2","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0"
"4歳","78","0","2","4","58","12","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"5歳","60","0","0","2","47","5","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0"
"6歳","47","0","0","13","32","6","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"7歳","53","0","0","3","30","4","0","2","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0"
"8歳","35","0","0","2","18","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"9歳","32","0","0","3","16","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10～14歳","98","0","0","2","48","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15～19歳","62","0","0","1","30","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"20～29歳","128","0","0","4","128","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0"
"30～39歳","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"40～49歳","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70～79歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1067","0","2","37","570","71","6","12","34","1","0","3","6","37","9","0","0","4","1","0","0","0","0","1"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2002年7週"
"集計期間終了週","2002年7週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","8","0","0","0","11","1","0","0","6","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"～1歳","29","0","0","0","55","7","0","1","31","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"1歳","100","0","0","1","117","26","0","2","18","0","0","1","1","0","7","0","0","0","0","0","0","0","0","0"
"2歳","130","0","0","2","86","26","6","3","1","0","0","0","2","4","1","0","0","0","0","0","0","0","0","0"
"3歳","168","0","0","4","80","23","1","3","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0"
"4歳","171","0","2","10","104","25","0","6","0","0","0","1","0","7","0","1","0","0","0","0","0","0","0","0"
"5歳","145","0","0","9","79","13","0","3","0","0","0","0","1","8","1","0","0","0","0","0","0","0","0","0"
"6歳","100","0","0","17","65","10","0","4","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"7歳","103","0","0","5","68","7","0","2","0","0","0","0","1","12","0","0","0","0","0","0","0","0","0","0"
"8歳","69","0","0","4","50","5","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"9歳","60","0","0","4","38","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"10～14歳","214","0","0","3","108","2","0","2","0","0","0","1","1","7","0","0","0","0","0","0","0","1","0","0"
"15～19歳","122","0","0","1","50","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
"20～29歳","241","0","0","4","204","1","0","0","0","0","0","1","0","3","0","0","0","4","0","0","0","0","0","2"
"30～39歳","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","0","0","1"
"40～49歳","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"70～79歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2124","0","2","64","1115","147","7","27","56","1","0","6","9","72","12","1","0","11","1","0","2","1","0","3"
"定点数","178","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","14","14","25","25","25","25","25","25"


