"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年32週
"集計期間終了週",2005年32週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","8","5","13","142"
"咽頭結膜熱","20","30","50","142"
"Ａ群溶血性レンサ球菌咽頭炎","55","35","90","142"
"感染性胃腸炎","155","109","264","142"
"水痘","36","31","67","142"
"手足口病","59","62","121","142"
"伝染性紅斑","13","13","26","142"
"突発性発しん","38","32","70","142"
"百日咳","0","0","0","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","110","94","204","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","63","77","140","142"
"不明発しん症","4","3","7","142"
"川崎病","0","1","1","142"
"急性出血性結膜炎","0","1","1","14"
"流行性角結膜炎","6","5","11","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
