"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年16週"
"集計期間終了週","2008年16週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","0","0","0","7","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","1","3","2","44","9","0","0","29","0","0","1","2","0","0","0","0","0","0","0"
"1歳","4","0","4","4","85","22","2","0","21","0","1","2","1","1","0","0","0","0","0","0"
"2歳","1","1","1","6","45","20","0","0","5","0","0","3","3","0","0","0","0","0","0","0"
"3歳","6","0","2","19","83","14","0","1","0","0","0","1","0","0","0","0","0","0","1","0"
"4歳","5","0","3","30","55","13","1","1","0","0","0","2","1","0","0","0","0","0","0","0"
"5歳","1","0","2","26","45","5","1","3","0","0","1","4","0","0","0","0","0","0","0","0"
"6歳","3","0","0","33","41","7","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
"7歳","2","0","1","27","43","3","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"8歳","5","0","1","9","26","2","0","2","0","0","0","5","0","0","0","0","0","0","0","0"
"9歳","1","0","0","8","21","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10～14歳","5","0","2","9","45","4","0","2","0","0","0","2","1","0","0","0","0","0","0","0"
"15～19歳","2","0","0","2","12","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"20～29歳","9","0","0","9","60","2","0","0","0","0","0","0","0","0","1","3","0","0","0","0"
"30～39歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40～49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","58","2","19","184","612","105","4","10","59","0","2","29","9","1","1","10","1","0","1","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年16週"
"集計期間終了週","2008年16週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","10","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","0","1","0","51","5","1","0","28","1","0","0","0","0","0","0","0","0","0","0"
"1歳","6","2","3","2","75","18","0","0","21","0","0","2","2","1","0","0","0","0","1","0"
"2歳","4","0","0","4","59","19","1","1","5","0","0","1","0","0","0","0","0","0","0","0"
"3歳","9","0","2","11","61","17","1","1","0","0","0","3","2","1","0","0","0","0","1","0"
"4歳","3","0","1","28","48","20","1","0","1","1","1","1","0","0","0","0","0","0","0","0"
"5歳","6","0","0","19","41","7","0","4","0","0","0","0","0","0","0","1","0","0","0","0"
"6歳","1","0","1","24","27","2","0","1","0","0","0","3","0","0","0","0","0","0","1","0"
"7歳","10","0","0","20","33","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"8歳","2","0","0","14","24","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","2","0","1","8","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","3","0","0","6","49","2","0","3","0","0","0","0","0","0","0","0","0","0","1","0"
"15～19歳","4","0","0","2","9","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"20～29歳","9","0","0","13","74","0","0","2","0","3","0","2","0","0","0","2","1","0","0","0"
"30～39歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"40～49歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"70～79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"合計","83","2","9","151","577","93","4","16","57","6","1","16","4","2","2","6","3","0","4","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年16週"
"集計期間終了週","2008年16週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","1","0","0","0","17","4","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","3","1","4","2","95","14","1","0","57","1","0","1","2","0","0","0","0","0","0","0"
"1歳","10","2","7","6","160","40","2","0","42","0","1","4","3","2","0","0","0","0","1","0"
"2歳","5","1","1","10","104","39","1","1","10","0","0","4","3","0","0","0","0","0","0","0"
"3歳","15","0","4","30","144","31","1","2","0","0","0","4","2","1","0","0","0","0","2","0"
"4歳","8","0","4","58","103","33","2","1","1","1","1","3","1","0","0","0","0","0","0","0"
"5歳","7","0","2","45","86","12","1","7","0","0","1","4","0","0","0","1","0","0","0","0"
"6歳","4","0","1","57","68","9","0","1","0","0","0","9","0","0","0","0","0","0","1","0"
"7歳","12","0","1","47","76","4","0","2","0","0","0","4","0","0","0","0","0","0","0","0"
"8歳","7","0","1","23","50","3","0","4","0","0","0","6","0","0","0","0","0","0","0","0"
"9歳","3","0","1","16","37","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"10～14歳","8","0","2","15","94","6","0","5","0","0","0","2","1","0","0","0","0","0","1","0"
"15～19歳","6","0","0","4","21","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0"
"20～29歳","18","0","0","22","134","2","0","2","0","3","0","2","0","0","1","5","1","0","0","0"
"30～39歳","22","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0"
"40～49歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50～59歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60～69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"70～79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"合計","141","4","28","335","1189","198","8","26","116","6","3","45","13","3","3","16","4","0","5","0"
"定点数","289","150","150","150","150","150","150","150","150","150","150","150","150","150","38","38","24","24","24","24"


