"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2013年47週"
"集計期間終了週","2013年47週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","11","2","14","69","23","2","2","4","0","0","1","0","0","0","0","0","0","3","0","0","0","","","","","",""
"区南部","4","8","11","18","96","5","3","2","5","0","0","2","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","3","9","11","21","79","13","2","3","8","0","0","0","3","0","0","0","2","0","1","0","0","0","","","","","",""
"区西部","0","10","7","12","79","18","4","0","5","0","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"区西北部","8","13","3","29","155","18","5","0","11","1","0","4","0","0","0","3","0","0","0","0","0","1","","","","","",""
"区東北部","4","6","4","21","167","6","5","0","11","0","1","3","1","0","0","1","0","0","0","0","1","0","","","","","",""
"区東部","6","13","15","29","127","12","5","0","7","0","2","4","0","0","0","2","0","1","0","0","0","0","","","","","",""
"西多摩","2","2","1","2","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","21","9","55","245","18","6","1","12","0","3","6","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","6","10","0","18","22","4","4","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","18","5","5","17","91","9","1","1","2","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"北多摩北部","8","10","10","22","50","4","1","1","7","0","0","2","2","0","0","0","0","1","0","0","0","1","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","61","118","78","258","1196","131","38","11","73","1","6","25","9","0","0","6","2","2","6","0","1","3","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2013年47週"
"集計期間終了週","2013年47週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","11","6","6","61","25","1","2","10","0","0","1","0","4","0","0","0","0","2","0","0","0","","","","","",""
"区南部","7","12","8","13","107","10","5","1","6","0","0","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","2","9","6","18","85","4","1","1","6","0","0","0","1","0","0","2","2","0","1","0","0","0","","","","","",""
"区西部","1","10","3","4","70","17","2","0","3","0","0","1","0","0","0","0","0","0","1","0","0","0","","","","","",""
"区西北部","7","5","3","26","147","21","3","0","6","1","0","1","0","0","0","3","0","0","1","0","0","1","","","","","",""
"区東北部","1","6","4","10","144","7","2","6","9","0","1","3","1","0","0","2","0","0","1","0","1","0","","","","","",""
"区東部","4","5","7","22","117","6","2","0","5","0","1","3","1","0","0","2","0","1","0","0","0","0","","","","","",""
"西多摩","3","1","1","1","17","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","","","","","",""
"南多摩","1","19","9","40","192","12","2","1","11","1","1","7","2","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","2","3","0","11","25","2","3","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","29","6","5","13","83","13","1","2","10","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"北多摩北部","5","8","4","12","53","3","3","1","3","0","1","2","2","0","0","0","0","1","0","0","0","1","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","63","95","56","176","1101","121","26","15","71","2","4","21","10","4","0","10","2","2","9","0","1","3","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2013年47週"
"集計期間終了週","2013年47週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","2","22","8","20","130","48","3","4","14","0","0","1","0","4","0","0","0","0","5","0","0","0","32","20","2","4","4","0"
"区南部","11","20","19","31","203","15","8","3","11","0","0","3","5","0","0","0","0","0","0","0","0","0","33","21","3","1","1","0"
"区西南部","5","18","17","39","164","17","3","4","14","0","0","0","4","0","0","2","2","0","1","0","0","0","38","24","4","3","3","0"
"区西部","1","20","10","16","149","35","6","0","8","0","0","1","0","0","0","0","0","0","2","0","0","0","36","25","3","4","4","0"
"区西北部","15","18","3","55","302","39","8","0","17","1","0","5","0","0","0","3","0","0","1","0","0","2","56","35","6","2","2","0"
"区東北部","5","12","8","31","311","13","7","6","20","0","1","6","2","0","0","3","0","0","1","0","1","0","40","25","4","1","1","0"
"区東部","10","18","22","51","244","18","7","0","12","0","3","7","1","0","0","2","0","1","0","0","0","0","39","25","4","1","1","0"
"西多摩","5","3","1","3","33","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","14","8","1","1","1","0"
"南多摩","2","40","18","95","437","30","8","1","23","1","4","13","3","0","0","1","0","0","0","0","0","0","45","28","4","1","1","0"
"北多摩西部","8","13","0","29","47","6","7","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"北多摩南部","47","11","10","30","174","22","2","3","12","0","0","1","0","0","0","0","0","0","1","0","0","1","31","19","2","3","3","0"
"北多摩北部","13","18","14","34","103","7","4","2","10","0","1","2","2","0","0","0","0","1","0","0","0","1","23","15","2","2","2","0"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","124","213","130","434","2297","252","64","24","144","2","9","40","17","4","0","11","2","2","13","0","1","4","410","260","37","25","25","0"


