"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年3週"
"集計期間終了週","2025年3週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"～5ヶ月","10","1","5","0","0","9","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"～1歳","31","9","8","2","2","50","0","1","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","84","20","15","2","5","120","0","4","9","17","0","0","0","0","0","1","0","0","1","0","0","3","2","0","0","1","1","0","2","1","0","0","2"
"2歳","92","8","13","4","11","94","2","0","23","5","0","0","1","0","0","0","0","0","1","0","0","2","0","0","0","1","0","2","0","2","0","0","0"
"3歳","99","12","1","1","20","61","0","1","34","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","101","12","1","1","26","59","3","0","41","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"5歳","115","9","0","2","26","64","3","0","60","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","121","7","1","1","33","57","1","0","59","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"7歳","94","7","1","1","32","41","5","0","28","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","108","15","0","0","22","39","6","0","17","0","1","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"9歳","76","7","0","0","14","47","3","0","15","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"10～14歳","318","52","0","1","48","115","5","1","14","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15～19歳","141","33","0","0","6","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","142","64","3","1","8","65","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"30～39歳","149","72","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"40～49歳","154","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","1","0","1"
"50～59歳","164","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","1","1","0","0","2","1","1","1","4"
"60～69歳","73","47","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","10","1","1","2","1","1","2","2","1","0","9"
"70～79歳","36","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","27","1","0","0","0","0","7","0","1","0","26"
"80歳以上","23","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","25","0","0","0","0","0","14","0","2","1","22"
"合計","2131","564","48","16","253","849","32","8","305","33","2","4","1","0","0","6","0","0","10","0","0","44","76","4","2","5","2","3","36","6","6","2","69"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2025年3週"
"集計期間終了週","2025年3週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

