"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年5週"
"集計期間終了週","2025年5週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","58","46","5","1","19","110","2","3","12","2","0","1","0","0","0","3","0","0","0","0","0","2","3","","","","","",""
"区南部","54","42","9","5","25","110","4","0","13","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","64","48","4","0","27","102","5","0","11","3","0","0","0","1","0","1","0","0","0","0","0","2","3","","","","","",""
"区西部","63","44","5","4","17","80","2","1","17","2","0","2","2","3","0","1","0","0","3","0","1","1","3","","","","","",""
"区西北部","112","106","11","5","56","149","7","0","44","2","0","1","2","0","0","3","0","0","1","0","0","0","5","","","","","",""
"区東北部","79","78","21","11","38","133","7","0","30","5","0","0","0","0","0","1","0","0","1","0","0","1","2","","","","","",""
"区東部","69","69","10","3","49","142","1","2","20","2","0","0","1","0","0","0","0","0","0","0","0","1","4","","","","","",""
"西多摩","13","27","0","0","5","16","1","2","2","1","0","0","0","0","0","0","0","0","1","0","0","1","4","","","","","",""
"南多摩","104","111","15","2","39","110","5","0","27","2","0","0","0","0","0","1","0","0","0","0","0","0","16","","","","","",""
"北多摩西部","37","33","4","0","24","48","1","0","18","1","0","0","0","0","0","0","0","0","1","0","0","0","2","","","","","",""
"北多摩南部","119","68","6","3","32","105","1","0","25","2","0","1","1","0","0","0","0","0","0","0","0","1","4","","","","","",""
"北多摩北部","33","45","7","1","41","116","2","0","33","1","0","0","0","0","0","0","0","0","0","0","0","4","3","","","","","",""
"島しょ","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","805","720","97","35","372","1221","38","8","252","24","0","6","6","5","0","10","0","0","7","0","1","13","49","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年5週"
"集計期間終了週","2025年5週"
"性別","女性"

