"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年37週
"集計期間終了週",2017年37週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","44","44","88","410"
"RSウイルス感染症","349","310","659","258"
"咽頭結膜熱","64","50","114","258"
"Ａ群溶血性レンサ球菌咽頭炎","208","202","410","258"
"感染性胃腸炎","513","418","931","258"
"水痘","29","21","50","258"
"手足口病","901","806","1707","258"
"伝染性紅斑","12","13","25","258"
"突発性発しん","83","54","137","258"
"百日咳","2","1","3","258"
"ヘルパンギーナ","183","145","328","258"
"流行性耳下腺炎","24","19","43","258"
"不明発しん症","18","18","36","258"
"川崎病","2","3","5","258"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","10","9","19","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","1","0","1","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","2","2","25"
