"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年44週
"集計期間終了週",2023年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3680","3406","7086","417"
"新型コロナウイルス感染症（COVID-19）","279","328","607","417"
"RSウイルス感染症","5","4","9","262"
"咽頭結膜熱","357","359","716","262"
"Ａ群溶血性レンサ球菌咽頭炎","568","526","1094","262"
"感染性胃腸炎","523","444","967","262"
"水痘","21","19","40","262"
"手足口病","69","64","133","262"
"伝染性紅斑","5","2","7","262"
"突発性発しん","29","23","52","262"
"ヘルパンギーナ","8","9","17","262"
"流行性耳下腺炎","4","4","8","262"
"不明発しん症","4","5","9","262"
"川崎病","0","0","0","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","23","20","43","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","22","14","36","25"
"COVID-19入院","56","24","80","25"
