"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年26週
"集計期間終了週",2018年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","8","5","13","411"
"RSウイルス感染症","54","42","96","262"
"咽頭結膜熱","104","95","199","262"
"Ａ群溶血性レンサ球菌咽頭炎","411","361","772","262"
"感染性胃腸炎","921","753","1674","262"
"水痘","51","54","105","262"
"手足口病","92","100","192","262"
"伝染性紅斑","152","170","322","262"
"突発性発しん","90","87","177","262"
"ヘルパンギーナ","179","177","356","262"
"流行性耳下腺炎","29","15","44","262"
"不明発しん症","14","12","26","262"
"川崎病","5","1","6","262"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","10","7","17","37"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","2","2","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
