"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年11月"
"集計期間終了月","2009年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","4","0"
"1～4歳","0","0","0","0","0","0","3","11","0"
"5～9歳","0","0","0","0","0","0","0","3","0"
"10～14歳","0","0","0","0","0","0","2","1","0"
"15～19歳","1","1","2","2","0","0","0","0","0"
"20～24歳","15","2","3","10","0","0","0","0","0"
"25～29歳","20","6","8","20","0","1","0","1","0"
"30～34歳","16","10","6","12","0","0","3","0","0"
"35～39歳","15","2","7","12","0","2","1","0","0"
"40～44歳","17","10","8","15","0","4","1","0","0"
"45～49歳","6","6","6","6","0","0","1","1","0"
"50～54歳","5","6","3","3","0","2","1","0","0"
"55～59歳","3","3","0","1","0","0","6","1","0"
"60～64歳","1","2","2","0","0","0","12","0","0"
"65～69歳","0","2","2","0","0","0","8","0","0"
"70歳以上","0","2","0","0","0","0","24","1","0"
"合計","99","52","47","81","0","9","64","23","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年11月"
"集計期間終了月","2009年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1～4歳","0","0","0","0","0","0","0","11","0"
"5～9歳","0","0","0","0","0","0","0","1","0"
"10～14歳","1","0","0","0","0","0","0","0","0"
"15～19歳","8","1","1","2","0","0","0","1","0"
"20～24歳","29","9","6","3","2","0","0","0","0"
"25～29歳","22","7","5","4","2","0","0","0","0"
"30～34歳","12","2","5","3","0","0","1","1","0"
"35～39歳","3","3","1","1","2","0","1","0","0"
"40～44歳","3","6","0","1","0","0","1","0","0"
"45～49歳","0","1","0","1","1","0","1","0","0"
"50～54歳","0","3","0","0","1","0","3","0","0"
"55～59歳","0","0","0","0","0","0","0","1","0"
"60～64歳","0","0","0","0","0","0","1","0","0"
"65～69歳","0","0","0","0","0","0","2","0","0"
"70歳以上","0","2","0","0","1","0","19","1","0"
"合計","78","34","18","15","9","0","33","18","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2009年11月"
"集計期間終了月","2009年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","6","6","0"
"1～4歳","0","0","0","0","0","0","3","22","0"
"5～9歳","0","0","0","0","0","0","0","4","0"
"10～14歳","1","0","0","0","0","0","2","1","0"
"15～19歳","9","2","3","4","0","0","0","1","0"
"20～24歳","44","11","9","13","2","0","0","0","0"
"25～29歳","42","13","13","24","2","1","0","1","0"
"30～34歳","28","12","11","15","0","0","4","1","0"
"35～39歳","18","5","8","13","2","2","2","0","0"
"40～44歳","20","16","8","16","0","4","2","0","0"
"45～49歳","6","7","6","7","1","0","2","1","0"
"50～54歳","5","9","3","3","1","2","4","0","0"
"55～59歳","3","3","0","1","0","0","6","2","0"
"60～64歳","1","2","2","0","0","0","13","0","0"
"65～69歳","0","2","2","0","0","0","10","0","0"
"70歳以上","0","4","0","0","1","0","43","2","0"
"合計","177","86","65","96","9","9","97","41","0"
"定点数","53","53","53","53","53","53","24","24","24"


